Articles,de,fr,es,it,sv,nl,pl,ru,en
Accountability,,,Rendición_de_cuentas,,,,,,Accountability
Algorithmic_bias,,Biais_algorithmique,,,,,,,Algorithmic_bias
Algorithmic_regulation,,,,,,,,,Algorithmic_regulation
Anticipatory_governance,,,,,,,,,Anticipatory_governance
Backward_Compatibility,,,,,,,,,Backward_Compatibility
Child_protection,Jugendschutz,Protection_de_l'enfance,,,,Jeugdzorg_(algemeen),,Защита_детей,Child_protection
Circular_economy,Kreislaufwirtschaft,Économie_circulaire,Economía_circular,Economia_circolare,Cirkulär_ekonomi,Kringloopeconomie,Gospodarka_obiegu_zamkniętego,Экономика_замкнутого_цикла,Circular_economy
Community_network,,,,Community_network,,,,,Community_network
Competition_law,Wettbewerbsrecht,Droit_de_la_concurrence,Derecho_de_la_competencia,Antitrust,Konkurrenslag,Mededingingsrecht,Prawo_konkurencji,Конкурентное_право,Competition_law
Computer_and_network_surveillance,Online-Durchsuchung,,,,,,Monitoring_pracy_komputera,Программа_отслеживания,Computer_and_network_surveillance
Computer-supported_collaboration,Workgroup_Computing,,,Computer-supported_collaboration,,,,,Computer-supported_collaboration
Context_awareness,Kontextsensitivität_(Informatik),,,,,,,,Context_awareness
Copyright,Urheberrecht,Copyright,Derecho_de_autor,Copyright,Upphovsrätt,Auteursrecht,Prawo_autorskie,Авторское_право,Copyright
Credential_stuffing,,,,,,,,,Credential_stuffing
Cyber_sovereignty,,Souveraineté_numérique,Cibersoberanía,,,,,,Cyber_sovereignty
Cybercrime,Computerkriminalität,Cybercrime,Delito_informático,Crimine_informatico,Nätbrottslighet,Computercriminaliteit,Przestępczość_komputerowa,Преступления_в_сфере_информационных_технологий,Cybercrime
Data_literacy,Datenkompetenz,Littératie_des_données,,,,,,,Data_literacy
Data_localization,,,,,,,,,Data_localization
Data_ownership,,,,,,,,,Data_ownership
Data_ownership,,,,,,,,,Data_ownership
Data_retention,,,,,,,,,Data_retention
Data_Sovereignty,,,,,,,,,Data_Sovereignty
Decentralization,Dezentralisierung_(Politik),Décentralisation,Descentralización,Decentramento,Decentralisering,Decentralisatie,Decentralizacja,Децентрализация,Decentralization
Decentralization,Dezentralisierung_(Politik),Décentralisation,Descentralización,Decentramento,Decentralisering,Decentralisatie,Decentralizacja,Децентрализация,Decentralization
Decision-making,Entscheidungsverfahren,Prise_de_décision,Toma_de_decisiones,,Beslutsfattande,,Proces_decyzyjny,Принятие_решений,Decision-making
Digital_citizen,,Internet_citoyen,Ciudadanía_digital,Cittadinanza_digitale,,,,,Digital_citizen
Digital_commons_(economics),,Biens_communs_numériques,,,,,,,Digital_commons_(economics)
Digital_divide,Digitale_Kluft,Fracture_numérique_(géographique),Brecha_digital,Digital_divide,Digital_klyfta,Digitale_kloof,Wykluczenie_cyfrowe,Цифровой_барьер,Digital_divide
Digital_economy,,Économie_numérique,Economía_digital,,,,E-gospodarka,Электронная_экономика,Digital_economy
Digital_economy,,Économie_numérique,Economía_digital,,,,E-gospodarka,Электронная_экономика,Digital_economy
Digital_identity,,Identité_numérique,,Identità_digitale,,,,,Digital_identity
Digital_labor,,Travail_numérique,,,,,,,Digital_labor
Digital_learning,,Digital_learning,Aprendizaje_digital,,,,,,Digital_learning
Digital_learning,,Digital_learning,Aprendizaje_digital,,,,,,Digital_learning
Digital_Single_Market,Digitaler_Binnenmarkt,,Mercado_Único_Digital,,,,,Цифровой_единый_рынок,Digital_Single_Market
Digital_transformation,Digitale_Transformation,,Transformación_digital,Trasformazione_digitale,,,,,Digital_transformation
Digital_transformation,Digitale_Transformation,,Transformación_digital,Trasformazione_digitale,,,,,Digital_transformation
Discrimination,Diskriminierung,Discrimination,Discriminación,Discriminazione,Diskriminering,Discriminatie,Dyskryminacja_(psychologia_społeczna),Дискриминация,Discrimination
Disruptive_innovation,Disruptive_Technologie,Technologie_de_rupture,Tecnología_disruptiva,,,,,Подрывные_инновации,Disruptive_innovation
Distance_education,Fernunterricht,Formation_à_distance,Educación_a_distancia,Formazione_a_distanza,Distansundervisning,Afstandsonderwijs,D-learning,Дистанционное_обучение,Distance_education
E-Administration,E-Administration,E-Gouvernement,E-gobierno,E-government,,E-government,E-Government,Электронное_государство,E-Administration
E-commerce,Elektronischer_Handel,Commerce_électronique,Comercio_electrónico,Commercio_elettronico,E-handel,Electronic_commerce,Handel_elektroniczny,Электронная_коммерция,E-commerce
E-democracy,E-Demokratie,Cyberdémocratie,Democracia_digital,E-democracy,E-demokrati,,Demokracja_elektroniczna,Электронная_демократия,E-democracy
E-procurement,Elektronische_Beschaffung,E-procurement,Aprovisionamiento_electrónico,E-procurement,,E-procurement,E-procurement,,E-procurement
Echo_chamber_(media),,Chambre_d'écho_(médias),Cámara_de_eco_(medios),Camera_dell'eco,Ekokammare,,,Эхо-камера,Echo_chamber_(media)
