Articles,de,fr,es,it,sv,nl,pl,ru,en
5G,,5G,Telefonía_móvil_5G,5G,5G,5G,,5G,5G
Ad_hoc_network,,,,,,,,,Ad_hoc_network
Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard
Algorithm,Algorithmus,Algorithme,Algoritmo,Algoritmo,Algoritm,Algoritme,Algorytm,Алгоритм,Algorithm
Amazon_(company),Amazon.com,Amazon_(entreprise),Amazon,Amazon.com,Amazon.com,Amazon.com,Amazon.com,Amazon_(компания),Amazon_(company)
Apple_Inc.,Apple,Apple,Apple,Apple,Apple_Inc.,Apple_Inc.,Apple_Inc.,Apple,Apple_Inc.
Application_programming_interface,Programmierschnittstelle,Interface_de_programmation,Interfaz_de_programación_de_aplicaciones,Application_programming_interface,Application_Programming_Interface,Application_programming_interface,Interfejs_programowania_aplikacji,API,Application_programming_interface
Application-specific_integrated_circuit,Anwendungsspezifische_integrierte_Schaltung,Application-specific_integrated_circuit,Circuito_integrado_de_aplicación_específica,Application_specific_integrated_circuit,ASIC,ASIC,Specjalizowany_układ_scalony,Интегральная_схема_специального_назначения,Application-specific_integrated_circuit
Artificial_intelligence,Künstliche_Intelligenz,Intelligence_artificielle,Inteligencia_artificial,Intelligenza_artificiale,Artificiell_intelligens,Kunstmatige_intelligentie,Sztuczna_inteligencja,Искусственный_интеллект,Artificial_intelligence
Artificial_neural_networ,,,,,,,,,Artificial_neural_networ
Augmented_reality,Erweiterte_Realität,Réalité_augmentée,Realidad_aumentada,Realtà_aumentata,Förstärkt_verklighet,Toegevoegde_realiteit,Rzeczywistość_rozszerzona,Дополненная_реальность,Augmented_reality
Authentication,Authentifizierung,Facteur_d'authentification,Autenticación,Autenticazione,Autentisering,Authenticatie,Uwierzytelnianie,Аутентификация,Authentication
Automated_reasoning,,Raisonnement_automatisé,Razonamiento_automático,Ragionamento_automatico,,,,,Automated_reasoning
Automation,Automatisierung,Automation,Automatización_industrial,Automazione,Automation,Automatisering,Automatyzacja,Автоматизация,Automation
Autonomous_car,Selbstfahrendes_Kraftfahrzeug,Véhicule_autonome,Vehículo_autónomo,Autovettura_autonoma,Självkörande_bil,Zelfsturende_auto,Samochód_bezzałogowy,Беспилотный_автомобиль,Autonomous_car
Autonomous_car,Selbstfahrendes_Kraftfahrzeug,Véhicule_autonome,Vehículo_autónomo,Autovettura_autonoma,Självkörande_bil,Zelfsturende_auto,Samochód_bezzałogowy,Беспилотный_автомобиль,Autonomous_car
Back-to-back_user_agent,,IP_Multimedia_Subsystem,,,,,,B2BUA,Back-to-back_user_agent
Big_data,Big_Data,Big_data,Macrodatos,Big_data,Big_data,Big_data,Big_data,Большие_данные,Big_data
Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Биткойн,Bitcoin
Blockchain,Blockchain,Blockchain,Cadena_de_bloques,Blockchain,Blockkedja,Blockchain,Blockchain,Блокчейн,Blockchain
Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol
Botnet,Botnet,Botnet,Botnet,Botnet,Botnet,Botnet,Botnet_(bezpieczeństwo_komputerowe),Ботнет,Botnet
Brain-computer_interface,,,,,,,,,Brain-computer_interface
C-RAN,,,,,,,,,C-RAN
C2Net,,,,,,,,,C2Net
Carrier_Ethernet,,,,,,,Carrier_Ethernet,,Carrier_Ethernet
CBOR,,,,,,,,,CBOR
Chatbot,Chatbot,Agent_conversationnel,Bot_conversacional,Chatterbot,,Chatbot,Chatbot,Виртуальный_собеседник,Chatbot
Classless_Inter-Domain_Routing,Classless_Inter-Domain_Routing,,Classless_Inter-Domain_Routing,Supernetting#CIDR,Classless_Inter-Domain_Routing,Classless_Inter-Domain_Routing,Classless_Inter-Domain_Routing,Бесклассовая_адресация,Classless_Inter-Domain_Routing
Cloud_computing,Cloud_Computing,Cloud_computing,Computación_en_la_nube,Cloud_computing,Datormoln,Cloud_computing,Chmura_obliczeniowa,Облачные_вычисления,Cloud_computing
