page_id	title	month	month_edits	month_reverts	month_mutual_reverts	month_mutual_reverts_2	month_users	month_users_reg	month_reverting_users	month_mutual_reverting_users	tot_edits	tot_users	n_reverts	tot_edits_reg	tot_users_reg	n_reverts_reg
3153946	Secure_Electronic_Transaction	201104	8	0	0	0	2	2	0	0	8	2	0	8	2	0
3153946	Secure_Electronic_Transaction	201105	1	0	0	0	1	1	0	0	9	3	0	9	3	0
3153946	Secure_Electronic_Transaction	201205	2	0	0	0	1	1	0	0	11	4	0	11	4	0
3153946	Secure_Electronic_Transaction	201209	1	0	0	0	1	1	0	0	12	5	0	12	5	0
3153946	Secure_Electronic_Transaction	201210	1	0	0	0	1	1	0	0	13	6	0	13	6	0
3153946	Secure_Electronic_Transaction	201302	1	0	0	0	1	1	0	0	14	7	0	14	7	0
3153946	Secure_Electronic_Transaction	201303	1	0	0	0	1	1	0	0	15	8	0	15	8	0
3153946	Secure_Electronic_Transaction	201304	1	0	0	0	1	1	0	0	16	9	0	16	9	0
3153946	Secure_Electronic_Transaction	201803	2	0	0	0	1	1	0	0	18	10	0	18	10	0
30528	Авторское_право	200504	3	0	0	0	3	3	0	0	3	3	0	3	3	0
30528	Авторское_право	200505	6	0	0	0	4	4	0	0	9	6	0	9	6	0
30528	Авторское_право	200508	7	0	0	0	3	3	0	0	16	8	0	16	8	0
30528	Авторское_право	200509	2	0	0	0	2	2	0	0	18	10	0	18	10	0
30528	Авторское_право	200510	4	1	0	0	4	3	1	0	22	12	1	21	11	1
30528	Авторское_право	200512	1	0	0	0	1	1	0	0	23	12	1	22	11	1
30528	Авторское_право	200601	6	0	0	0	3	2	0	0	29	15	1	27	13	1
30528	Авторское_право	200603	4	0	0	0	3	3	0	0	33	18	1	31	16	1
30528	Авторское_право	200604	6	0	0	0	4	3	0	0	39	22	1	36	19	1
30528	Авторское_право	200605	3	0	0	0	3	1	0	0	42	25	1	37	20	1
30528	Авторское_право	200607	4	0	0	0	4	3	0	0	46	28	1	40	22	1
30528	Авторское_право	200608	5	0	0	0	4	3	0	0	51	32	1	44	25	1
30528	Авторское_право	200609	12	0	0	0	5	4	0	0	63	36	1	55	28	1
30528	Авторское_право	200610	7	1	0	0	5	3	1	0	70	40	2	59	30	1
30528	Авторское_право	200611	4	0	0	0	2	2	0	0	74	41	2	63	31	1
30528	Авторское_право	200612	4	0	0	0	4	3	0	0	78	45	2	66	34	1
30528	Авторское_право	200701	7	0	0	0	4	3	0	0	85	48	2	72	36	1
30528	Авторское_право	200702	67	1	0	0	10	8	1	0	152	55	3	137	41	1
30528	Авторское_право	200703	12	0	0	0	7	5	0	0	164	60	3	147	44	1
30528	Авторское_право	200704	16	1	0	0	9	8	1	0	180	68	4	162	51	1
30528	Авторское_право	200705	2	0	0	0	2	2	0	0	182	69	4	164	52	1
30528	Авторское_право	200706	6	0	0	0	4	3	0	0	188	73	4	168	55	1
30528	Авторское_право	200707	4	0	0	0	3	2	0	0	192	76	4	170	57	1
30528	Авторское_право	200708	2	0	0	0	2	2	0	0	194	78	4	172	59	1
30528	Авторское_право	200710	4	0	0	0	3	3	0	0	198	80	4	176	61	1
30528	Авторское_право	200711	7	1	0	0	3	2	1	0	205	81	5	182	61	1
30528	Авторское_право	200712	5	0	0	0	5	3	0	0	210	84	5	185	62	1
30528	Авторское_право	200801	3	0	0	0	3	2	0	0	213	86	5	187	63	1
30528	Авторское_право	200802	6	0	0	0	5	5	0	0	219	89	5	193	66	1
30528	Авторское_право	200803	5	1	0	0	4	4	1	0	224	91	6	198	68	2
