page_id	title	month	month_edits	month_reverts	month_mutual_reverts	month_mutual_reverts_2	month_users	month_users_reg	month_reverting_users	month_mutual_reverting_users	tot_edits	tot_users	n_reverts	tot_edits_reg	tot_users_reg	n_reverts_reg
108554	Arbeitnehmerüberlassung	200403	4	0	0	0	2	0	0	0	4	2	0	0	0	0
108554	Arbeitnehmerüberlassung	200405	2	0	0	0	2	1	0	0	6	4	0	1	1	0
108554	Arbeitnehmerüberlassung	200406	1	0	0	0	1	0	0	0	7	4	0	1	1	0
108554	Arbeitnehmerüberlassung	200407	1	0	0	0	1	1	0	0	8	5	0	2	2	0
108554	Arbeitnehmerüberlassung	200408	2	0	0	0	1	0	0	0	10	6	0	2	2	0
108554	Arbeitnehmerüberlassung	200410	6	0	0	0	4	3	0	0	16	10	0	6	5	0
108554	Arbeitnehmerüberlassung	200411	3	0	0	0	2	1	0	0	19	12	0	8	6	0
108554	Arbeitnehmerüberlassung	200412	1	0	0	0	1	0	0	0	20	13	0	8	6	0
108554	Arbeitnehmerüberlassung	200501	2	0	0	0	2	2	0	0	22	15	0	10	8	0
108554	Arbeitnehmerüberlassung	200502	2	0	0	0	2	0	0	0	24	17	0	10	8	0
108554	Arbeitnehmerüberlassung	200504	2	0	0	0	1	0	0	0	26	18	0	10	8	0
108554	Arbeitnehmerüberlassung	200505	8	0	0	0	3	2	0	0	34	21	0	15	10	0
108554	Arbeitnehmerüberlassung	200506	8	0	0	0	1	0	0	0	42	22	0	15	10	0
108554	Arbeitnehmerüberlassung	200507	17	1	0	0	5	1	1	0	59	27	1	16	11	0
108554	Arbeitnehmerüberlassung	200508	10	0	0	0	8	1	0	0	69	35	1	17	12	0
108554	Arbeitnehmerüberlassung	200509	13	0	0	0	9	4	0	0	82	44	1	21	16	0
108554	Arbeitnehmerüberlassung	200510	5	0	0	0	5	3	0	0	87	48	1	24	18	0
108554	Arbeitnehmerüberlassung	200511	12	0	0	0	9	3	0	0	99	56	1	28	20	0
108554	Arbeitnehmerüberlassung	200512	6	1	0	0	5	3	1	0	105	61	2	32	23	1
108554	Arbeitnehmerüberlassung	200601	13	1	0	0	8	3	1	0	118	67	3	39	25	1
108554	Arbeitnehmerüberlassung	200602	9	0	0	0	5	1	0	0	127	71	3	40	26	1
108554	Arbeitnehmerüberlassung	200603	8	0	0	0	7	2	0	0	135	77	3	42	27	1
108554	Arbeitnehmerüberlassung	200604	9	0	0	0	5	3	0	0	144	81	3	48	30	1
108554	Arbeitnehmerüberlassung	200605	16	1	0	0	8	5	1	0	160	88	4	53	34	1
108554	Arbeitnehmerüberlassung	200606	20	1	0	0	5	1	1	0	180	93	5	66	35	1
