page_id	title	month	month_edits	month_reverts	month_mutual_reverts	month_mutual_reverts_2	month_users	month_users_reg	month_reverting_users	month_mutual_reverting_users	tot_edits	tot_users	n_reverts	tot_edits_reg	tot_users_reg	n_reverts_reg
849576	Afstandsonderwijs	200706	1	0	0	0	1	1	0	0	1	1	0	1	1	0
849576	Afstandsonderwijs	200711	2	0	0	0	1	1	0	0	3	2	0	3	2	0
849576	Afstandsonderwijs	200712	3	0	0	0	1	1	0	0	6	3	0	6	3	0
849576	Afstandsonderwijs	200804	2	0	0	0	1	1	0	0	8	3	0	8	3	0
849576	Afstandsonderwijs	200805	1	0	0	0	1	1	0	0	9	4	0	9	4	0
849576	Afstandsonderwijs	200806	2	0	0	0	2	1	0	0	11	6	0	10	5	0
849576	Afstandsonderwijs	200807	6	0	0	0	1	1	0	0	17	7	0	16	6	0
849576	Afstandsonderwijs	200810	2	0	0	0	1	1	0	0	19	8	0	18	7	0
849576	Afstandsonderwijs	200812	2	0	0	0	2	1	0	0	21	10	0	19	8	0
849576	Afstandsonderwijs	200901	1	0	0	0	1	1	0	0	22	10	0	20	8	0
849576	Afstandsonderwijs	200902	2	0	0	0	1	1	0	0	24	11	0	22	9	0
849576	Afstandsonderwijs	200910	4	0	0	0	2	2	0	0	28	12	0	26	10	0
849576	Afstandsonderwijs	200912	3	1	0	0	3	2	1	0	31	14	1	28	11	0
849576	Afstandsonderwijs	201002	1	0	0	0	1	0	0	0	32	15	1	28	11	0
849576	Afstandsonderwijs	201003	4	2	0	0	3	3	1	0	36	18	3	32	14	2
849576	Afstandsonderwijs	201006	1	0	0	0	1	1	0	0	37	19	3	33	15	2
849576	Afstandsonderwijs	201009	1	0	0	0	1	1	0	0	38	20	3	34	16	2
849576	Afstandsonderwijs	201010	5	0	0	0	4	2	0	0	43	24	3	36	18	2
849576	Afstandsonderwijs	201012	1	0	0	0	1	1	0	0	44	25	3	37	19	2
849576	Afstandsonderwijs	201101	3	0	0	0	3	3	0	0	47	28	3	40	22	2
849576	Afstandsonderwijs	201108	8	1	0	0	6	5	1	0	55	34	4	47	27	3
849576	Afstandsonderwijs	201109	2	0	0	0	2	2	0	0	57	36	4	49	29	3
849576	Afstandsonderwijs	201111	1	0	0	0	1	1	0	0	58	37	4	50	30	3
849576	Afstandsonderwijs	201112	2	0	0	0	2	1	0	0	60	39	4	51	31	3
849576	Afstandsonderwijs	201203	1	0	0	0	1	1	0	0	61	40	4	52	32	3
849576	Afstandsonderwijs	201204	1	0	0	0	1	0	0	0	62	41	4	52	32	3
849576	Afstandsonderwijs	201205	1	0	0	0	1	1	0	0	63	42	4	53	33	3
849576	Afstandsonderwijs	201206	1	0	0	0	1	1	0	0	64	42	4	54	33	3
849576	Afstandsonderwijs	201207	1	0	0	0	1	1	0	0	65	43	4	55	34	3
849576	Afstandsonderwijs	201209	2	0	0	0	2	2	0	0	67	45	4	57	36	3
849576	Afstandsonderwijs	201211	1	0	0	0	1	1	0	0	68	46	4	58	37	3
849576	Afstandsonderwijs	201212	2	0	0	0	2	2	0	0	70	47	4	60	38	3
849576	Afstandsonderwijs	201302	1	0	0	0	1	1	0	0	71	48	4	61	39	3
849576	Afstandsonderwijs	201303	1	0	0	0	1	1	0	0	72	49	4	62	40	3
849576	Afstandsonderwijs	201306	1	0	0	0	1	1	0	0	73	50	4	63	41	3
849576	Afstandsonderwijs	201310	3	0	0	0	1	1	0	0	76	51	4	66	42	3
849576	Afstandsonderwijs	201405	1	0	0	0	1	0	0	0	77	52	4	66	42	3
849576	Afstandsonderwijs	201406	1	0	0	0	1	1	0	0	78	53	4	67	43	3
849576	Afstandsonderwijs	201407	7	0	0	0	4	2	0	0	85	57	4	69	45	3
849576	Afstandsonderwijs	201408	1	0	0	0	1	1	0	0	86	58	4	70	46	3
849576	Afstandsonderwijs	201412	1	0	0	0	1	1	0	0	87	58	4	71	46	3
849576	Afstandsonderwijs	201501	3	1	0	0	2	1	1	0	90	59	5	72	46	3
849576	Afstandsonderwijs	201511	1	0	0	0	1	1	0	0	91	60	5	73	47	3
849576	Afstandsonderwijs	201512	1	0	0	0	1	0	0	0	92	60	5	73	47	3
849576	Afstandsonderwijs	201605	3	0	0	0	1	0	0	0	95	60	5	73	47	3
849576	Afstandsonderwijs	201606	3	0	0	0	2	2	0	0	98	62	5	76	49	3
849576	Afstandsonderwijs	201702	4	0	0	0	2	1	0	0	102	64	5	79	50	3
849576	Afstandsonderwijs	201706	1	0	0	0	1	1	0	0	103	65	5	80	51	3
849576	Afstandsonderwijs	201803	2	1	0	0	2	1	1	0	105	67	6	81	52	3
4576627	Algemene_verordening_gegevensbescherming	201606	8	0	0	0	3	3	0	0	8	3	0	8	3	0
4576627	Algemene_verordening_gegevensbescherming	201607	4	0	0	0	1	1	0	0	12	3	0	12	3	0
4576627	Algemene_verordening_gegevensbescherming	201608	1	0	0	0	1	1	0	0	13	3	0	13	3	0
4576627	Algemene_verordening_gegevensbescherming	201609	2	0	0	0	2	2	0	0	15	4	0	15	4	0
4576627	Algemene_verordening_gegevensbescherming	201701	1	0	0	0	1	1	0	0	16	4	0	16	4	0
4576627	Algemene_verordening_gegevensbescherming	201703	3	0	0	0	1	0	0	0	19	5	0	16	4	0
4576627	Algemene_verordening_gegevensbescherming	201704	1	0	0	0	1	1	0	0	20	6	0	17	5	0
4576627	Algemene_verordening_gegevensbescherming	201706	6	0	0	0	2	2	0	0	26	7	0	23	6	0
4576627	Algemene_verordening_gegevensbescherming	201707	4	0	0	0	2	2	0	0	30	8	0	27	7	0
4576627	Algemene_verordening_gegevensbescherming	201708	2	0	0	0	2	2	0	0	32	9	0	29	8	0
4576627	Algemene_verordening_gegevensbescherming	201709	3	0	0	0	3	1	0	0	35	11	0	30	8	0
4576627	Algemene_verordening_gegevensbescherming	201710	4	1	0	0	4	3	1	0	39	15	1	33	11	1
4576627	Algemene_verordening_gegevensbescherming	201711	1	0	0	0	1	1	0	0	40	15	1	34	11	1
4576627	Algemene_verordening_gegevensbescherming	201801	3	1	0	0	3	2	1	0	43	18	2	36	13	1
4576627	Algemene_verordening_gegevensbescherming	201803	11	0	0	0	4	4	0	0	54	21	2	47	16	1
4576627	Algemene_verordening_gegevensbescherming	201804	8	1	0	0	7	5	1	0	62	27	3	53	20	1
4576627	Algemene_verordening_gegevensbescherming	201805	13	1	0	0	7	5	1	0	75	33	4	64	24	2
4576627	Algemene_verordening_gegevensbescherming	201806	27	0	0	0	15	14	0	0	102	44	4	89	33	2
237	Auteursrecht	200204	1	0	0	0	1	1	0	0	1	1	0	1	1	0
237	Auteursrecht	200210	2	0	0	0	1	1	0	0	3	2	0	3	1	0
237	Auteursrecht	200301	3	0	0	0	3	3	0	0	6	5	0	6	3	0
237	Auteursrecht	200302	2	0	0	0	1	1	0	0	8	5	0	8	3	0
237	Auteursrecht	200303	1	0	0	0	1	1	0	0	9	6	0	9	4	0
237	Auteursrecht	200305	1	0	0	0	1	1	0	0	10	7	0	10	5	0
237	Auteursrecht	200306	2	0	0	0	1	1	0	0	12	8	0	12	6	0
237	Auteursrecht	200307	2	0	0	0	1	0	0	0	14	9	0	12	6	0
237	Auteursrecht	200308	3	0	0	0	2	1	0	0	17	11	0	14	7	0
237	Auteursrecht	200309	6	0	0	0	3	3	0	0	23	14	0	20	10	0
237	Auteursrecht	200311	1	0	0	0	1	1	0	0	24	15	0	21	11	0
237	Auteursrecht	200401	2	0	0	0	1	1	0	0	26	16	0	23	12	0
237	Auteursrecht	200402	1	0	0	0	1	1	0	0	27	17	0	24	13	0
237	Auteursrecht	200403	4	0	0	0	3	3	0	0	31	20	0	28	16	0
237	Auteursrecht	200404	7	0	0	0	6	4	0	0	38	24	0	33	18	0
237	Auteursrecht	200405	1	0	0	0	1	1	0	0	39	24	0	34	18	0
237	Auteursrecht	200406	7	0	0	0	3	2	0	0	46	26	0	40	19	0
237	Auteursrecht	200407	2	0	0	0	2	1	0	0	48	27	0	41	19	0
237	Auteursrecht	200409	2	0	0	0	2	2	0	0	50	28	0	43	20	0
237	Auteursrecht	200410	10	0	0	0	8	6	0	0	60	33	0	51	23	0
237	Auteursrecht	200411	5	0	0	0	3	3	0	0	65	34	0	56	24	0
237	Auteursrecht	200412	2	0	0	0	1	0	0	0	67	35	0	56	24	0
237	Auteursrecht	200502	1	0	0	0	1	0	0	0	68	36	0	56	24	0
237	Auteursrecht	200503	3	1	0	0	3	1	1	0	71	39	1	57	25	0
237	Auteursrecht	200504	1	0	0	0	1	0	0	0	72	40	1	57	25	0
237	Auteursrecht	200505	2	0	0	0	2	2	0	0	74	41	1	59	26	0
237	Auteursrecht	200506	4	1	0	0	3	2	1	0	78	44	2	61	28	0
237	Auteursrecht	200507	21	0	0	0	6	5	0	0	99	48	2	76	31	0
237	Auteursrecht	200508	4	0	0	0	2	1	0	0	103	49	2	77	31	0
237	Auteursrecht	200509	4	0	0	0	3	2	0	0	107	51	2	80	32	0
237	Auteursrecht	200510	19	2	0	0	7	5	2	0	126	57	4	97	36	1
237	Auteursrecht	200511	5	0	0	0	4	2	0	0	131	59	4	100	36	1
237	Auteursrecht	200512	3	0	0	0	1	1	0	0	134	59	4	103	36	1
237	Auteursrecht	200601	1	0	0	0	1	1	0	0	135	60	4	104	37	1
237	Auteursrecht	200602	3	0	0	0	3	3	0	0	138	62	4	107	39	1
237	Auteursrecht	200603	11	0	0	0	2	2	0	0	149	62	4	118	39	1
237	Auteursrecht	200605	8	3	0	0	7	5	3	0	157	69	7	124	44	2
237	Auteursrecht	200606	10	3	0	0	8	5	3	0	167	77	10	130	49	3
237	Auteursrecht	200607	8	0	0	0	5	4	0	0	175	81	10	137	52	3
237	Auteursrecht	200608	5	0	0	0	3	2	0	0	180	84	10	141	54	3
237	Auteursrecht	200609	6	1	0	0	5	3	1	0	186	88	11	145	56	3
