page_id	title	month	month_edits	month_reverts	month_mutual_reverts	month_mutual_reverts_2	month_users	month_users_reg	month_reverting_users	month_mutual_reverting_users	tot_edits	tot_users	n_reverts	tot_edits_reg	tot_users_reg	n_reverts_reg
3691161	Bańka_filtrująca	201606	6	0	0	0	3	3	0	0	6	3	0	6	3	0
3691161	Bańka_filtrująca	201701	3	0	0	0	3	3	0	0	9	4	0	9	4	0
3691161	Bańka_filtrująca	201710	1	0	0	0	1	0	0	0	10	5	0	9	4	0
3691161	Bańka_filtrująca	201801	1	0	0	0	1	0	0	0	11	6	0	9	4	0
649306	D-learning	200611	3	0	0	0	2	2	0	0	3	2	0	3	2	0
649306	D-learning	200704	1	0	0	0	1	0	0	0	4	3	0	3	2	0
649306	D-learning	200706	1	0	0	0	1	1	0	0	5	4	0	4	3	0
649306	D-learning	200803	2	0	0	0	2	2	0	0	7	6	0	6	5	0
649306	D-learning	201009	1	0	0	0	1	1	0	0	8	7	0	7	6	0
649306	D-learning	201012	1	0	0	0	1	1	0	0	9	8	0	8	7	0
649306	D-learning	201101	3	0	0	0	3	3	0	0	12	11	0	11	10	0
649306	D-learning	201108	1	0	0	0	1	1	0	0	13	12	0	12	11	0
649306	D-learning	201109	2	0	0	0	1	1	0	0	15	13	0	14	12	0
649306	D-learning	201204	1	0	0	0	1	1	0	0	16	14	0	15	13	0
649306	D-learning	201205	1	0	0	0	1	1	0	0	17	15	0	16	14	0
649306	D-learning	201206	1	0	0	0	1	1	0	0	18	15	0	17	14	0
649306	D-learning	201208	1	0	0	0	1	1	0	0	19	16	0	18	15	0
649306	D-learning	201209	1	0	0	0	1	1	0	0	20	17	0	19	16	0
649306	D-learning	201211	1	0	0	0	1	1	0	0	21	18	0	20	17	0
649306	D-learning	201212	1	0	0	0	1	1	0	0	22	18	0	21	17	0
649306	D-learning	201302	1	0	0	0	1	1	0	0	23	19	0	22	18	0
649306	D-learning	201303	1	0	0	0	1	1	0	0	24	20	0	23	19	0
649306	D-learning	201304	1	0	0	0	1	1	0	0	25	21	0	24	20	0
649306	D-learning	201310	3	0	0	0	1	1	0	0	28	22	0	27	21	0
649306	D-learning	201311	1	0	0	0	1	0	0	0	29	23	0	27	21	0
649306	D-learning	201507	1	0	0	0	1	1	0	0	30	24	0	28	22	0
649306	D-learning	201605	1	0	0	0	1	1	0	0	31	25	0	29	23	0
649306	D-learning	201606	1	0	0	0	1	0	0	0	32	26	0	29	23	0
649306	D-learning	201609	1	1	0	0	1	1	1	0	33	27	1	30	24	0
649306	D-learning	201708	1	0	0	0	1	1	0	0	34	28	1	31	25	0
649306	D-learning	201711	2	0	0	0	1	1	0	0	36	29	1	33	26	0
649306	D-learning	201712	1	0	0	0	1	1	0	0	37	30	1	34	27	0
649306	D-learning	201801	1	0	0	0	1	1	0	0	38	31	1	35	28	0
649306	D-learning	201802	2	0	0	0	2	2	0	0	40	33	1	37	30	0
649306	D-learning	201804	1	0	0	0	1	1	0	0	41	34	1	38	31	0
1328	Dane_osobowe	200404	4	0	0	0	3	3	0	0	4	3	0	4	3	0
1328	Dane_osobowe	200411	1	0	0	0	1	0	0	0	5	4	0	4	3	0
1328	Dane_osobowe	200501	5	0	0	0	2	1	0	0	10	5	0	7	4	0
1328	Dane_osobowe	200605	2	0	0	0	1	1	0	0	12	5	0	9	4	0
1328	Dane_osobowe	200608	1	0	0	0	1	1	0	0	13	6	0	10	5	0
1328	Dane_osobowe	200611	1	0	0	0	1	1	0	0	14	7	0	11	6	0
1328	Dane_osobowe	200702	1	0	0	0	1	1	0	0	15	7	0	12	6	0
1328	Dane_osobowe	200704	2	1	0	0	2	1	1	0	17	9	1	13	7	0
1328	Dane_osobowe	200708	2	1	0	0	2	1	1	0	19	11	2	14	8	0
1328	Dane_osobowe	200712	1	0	0	0	1	1	0	0	20	11	2	15	8	0
1328	Dane_osobowe	200801	12	3	0	0	4	2	2	0	32	15	5	18	10	0
1328	Dane_osobowe	200803	1	0	0	0	1	1	0	0	33	16	5	19	11	0
1328	Dane_osobowe	200811	1	0	0	0	1	1	0	0	34	17	5	20	12	0
1328	Dane_osobowe	200812	11	7	5	3	5	4	3	2	45	21	12	27	15	3
1328	Dane_osobowe	200902	4	1	0	0	4	3	1	0	49	23	13	30	16	3
1328	Dane_osobowe	200903	5	0	0	0	1	0	0	0	54	24	13	30	16	3
1328	Dane_osobowe	200912	1	1	0	0	1	1	1	0	55	25	14	31	17	3
1328	Dane_osobowe	201002	3	1	0	0	2	1	1	0	58	26	15	33	17	3
1328	Dane_osobowe	201004	2	1	0	0	2	2	1	0	60	28	16	35	19	4
1328	Dane_osobowe	201005	1	0	0	0	1	1	0	0	61	29	16	36	20	4
1328	Dane_osobowe	201011	2	0	0	0	2	2	0	0	63	31	16	38	22	4
1328	Dane_osobowe	201101	1	0	0	0	1	1	0	0	64	32	16	39	23	4
1328	Dane_osobowe	201104	1	0	0	0	1	1	0	0	65	33	16	40	24	4
1328	Dane_osobowe	201106	2	0	0	0	1	1	0	0	67	33	16	42	24	4
1328	Dane_osobowe	201108	1	0	0	0	1	1	0	0	68	34	16	43	25	4
1328	Dane_osobowe	201111	3	0	0	0	3	2	0	0	71	37	16	45	27	4
1328	Dane_osobowe	201112	1	0	0	0	1	0	0	0	72	38	16	45	27	4
1328	Dane_osobowe	201201	4	3	1	0	3	1	2	1	76	40	19	47	27	5
1328	Dane_osobowe	201202	4	2	0	0	4	3	2	0	80	43	21	50	29	6
1328	Dane_osobowe	201207	1	0	0	0	1	0	0	0	81	44	21	50	29	6
1328	Dane_osobowe	201208	1	0	0	0	1	0	0	0	82	45	21	50	29	6
1328	Dane_osobowe	201210	4	0	0	0	4	2	0	0	86	49	21	52	31	6
1328	Dane_osobowe	201212	1	0	0	0	1	1	0	0	87	50	21	53	32	6
1328	Dane_osobowe	201303	1	0	0	0	1	1	0	0	88	51	21	54	33	6
1328	Dane_osobowe	201401	2	0	0	0	2	2	0	0	90	53	21	56	35	6
1328	Dane_osobowe	201405	1	0	0	0	1	0	0	0	91	54	21	56	35	6
1328	Dane_osobowe	201407	2	1	0	0	2	1	1	0	93	56	22	57	36	6
1328	Dane_osobowe	201601	3	0	0	0	1	1	0	0	96	57	22	60	37	6
1328	Dane_osobowe	201607	2	1	0	0	2	2	1	0	98	58	23	62	38	7
1328	Dane_osobowe	201611	1	0	0	0	1	1	0	0	99	59	23	63	39	7
1328	Dane_osobowe	201701	3	0	0	0	2	2	0	0	102	61	23	66	41	7
1328	Dane_osobowe	201801	2	0	0	0	2	1	0	0	104	63	23	67	42	7
1328	Dane_osobowe	201802	1	0	0	0	1	1	0	0	105	63	23	68	42	7
1328	Dane_osobowe	201803	6	0	0	0	3	3	0	0	111	66	23	74	45	7
1328	Dane_osobowe	201805	3	0	0	0	3	2	0	0	114	69	23	76	47	7
1328	Dane_osobowe	201806	11	2	0	0	8	4	2	0	125	75	25	81	49	7
164121	Decentralizacja	200506	4	0	0	0	3	2	0	0	4	3	0	3	2	0
164121	Decentralizacja	200510	3	0	0	0	2	2	0	0	7	4	0	6	3	0
164121	Decentralizacja	200511	5	2	1	0	2	2	2	1	12	5	2	11	4	2
164121	Decentralizacja	200603	1	0	0	0	1	1	0	0	13	6	2	12	5	2
164121	Decentralizacja	200605	1	0	0	0	1	1	0	0	14	7	2	13	6	2
164121	Decentralizacja	200606	2	0	0	0	2	1	0	0	16	9	2	14	7	2
164121	Decentralizacja	200607	3	0	0	0	3	3	0	0	19	11	2	17	9	2
164121	Decentralizacja	200611	1	0	0	0	1	1	0	0	20	12	2	18	10	2
164121	Decentralizacja	200612	3	1	0	0	2	1	1	0	23	14	3	19	11	2
164121	Decentralizacja	200701	5	1	0	0	5	4	1	0	28	18	4	23	14	2
164121	Decentralizacja	200702	1	0	0	0	1	1	0	0	29	19	4	24	15	2
164121	Decentralizacja	200704	1	0	0	0	1	1	0	0	30	20	4	25	16	2
164121	Decentralizacja	200705	3	0	0	0	3	2	0	0	33	22	4	27	17	2
164121	Decentralizacja	200706	1	0	0	0	1	1	0	0	34	23	4	28	18	2
164121	Decentralizacja	200708	2	0	0	0	2	2	0	0	36	25	4	30	20	2
164121	Decentralizacja	200710	1	0	0	0	1	1	0	0	37	26	4	31	21	2
164121	Decentralizacja	200804	1	0	0	0	1	1	0	0	38	27	4	32	22	2
164121	Decentralizacja	200805	3	1	0	0	3	2	1	0	41	30	5	34	24	2
164121	Decentralizacja	200806	1	0	0	0	1	1	0	0	42	31	5	35	25	2
164121	Decentralizacja	200809	1	0	0	0	1	1	0	0	43	31	5	36	25	2
164121	Decentralizacja	200810	2	0	0	0	1	1	0	0	45	32	5	38	26	2
164121	Decentralizacja	200812	1	0	0	0	1	0	0	0	46	33	5	38	26	2
164121	Decentralizacja	200902	1	0	0	0	1	1	0	0	47	34	5	39	27	2
164121	Decentralizacja	200906	1	0	0	0	1	1	0	0	48	35	5	40	28	2
164121	Decentralizacja	200908	1	0	0	0	1	1	0	0	49	36	5	41	29	2
164121	Decentralizacja	200911	1	0	0	0	1	1	0	0	50	37	5	42	30	2
164121	Decentralizacja	201003	1	0	0	0	1	1	0	0	51	38	5	43	31	2
164121	Decentralizacja	201004	1	0	0	0	1	1	0	0	52	38	5	44	31	2
164121	Decentralizacja	201005	2	0	0	0	2	2	0	0	54	39	5	46	32	2
164121	Decentralizacja	201007	1	0	0	0	1	1	0	0	55	40	5	47	33	2
164121	Decentralizacja	201009	1	0	0	0	1	1	0	0	56	41	5	48	34	2
164121	Decentralizacja	201011	1	0	0	0	1	1	0	0	57	42	5	49	35	2
164121	Decentralizacja	201012	1	0	0	0	1	1	0	0	58	43	5	50	36	2
164121	Decentralizacja	201102	5	0	0	0	3	3	0	0	63	46	5	55	39	2
164121	Decentralizacja	201103	2	0	0	0	2	2	0	0	65	47	5	57	40	2
164121	Decentralizacja	201105	1	0	0	0	1	1	0	0	66	47	5	58	40	2
164121	Decentralizacja	201108	1	0	0	0	1	1	0	0	67	47	5	59	40	2
164121	Decentralizacja	201109	2	0	0	0	1	1	0	0	69	48	5	61	41	2
164121	Decentralizacja	201203	2	0	0	0	2	2	0	0	71	48	5	63	41	2
164121	Decentralizacja	201206	1	0	0	0	1	1	0	0	72	49	5	64	42	2
164121	Decentralizacja	201207	1	0	0	0	1	1	0	0	73	50	5	65	43	2
164121	Decentralizacja	201209	1	0	0	0	1	1	0	0	74	50	5	66	43	2
164121	Decentralizacja	201211	1	0	0	0	1	1	0	0	75	51	5	67	44	2
164121	Decentralizacja	201302	1	0	0	0	1	1	0	0	76	52	5	68	45	2
164121	Decentralizacja	201303	2	0	0	0	1	1	0	0	78	53	5	70	46	2
164121	Decentralizacja	201505	1	0	0	0	1	1	0	0	79	54	5	71	47	2
164121	Decentralizacja	201602	3	0	0	0	3	3	0	0	82	57	5	74	50	2
164121	Decentralizacja	201703	1	0	0	0	1	1	0	0	83	58	5	75	51	2
164121	Decentralizacja	201704	1	0	0	0	1	0	0	0	84	59	5	75	51	2
164121	Decentralizacja	201801	1	0	0	0	1	1	0	0	85	60	5	76	52	2
1896252	Demokracja_elektroniczna	201004	5	0	0	0	2	2	0	0	5	2	0	5	2	0
1896252	Demokracja_elektroniczna	201006	1	0	0	0	1	1	0	0	6	3	0	6	3	0
1896252	Demokracja_elektroniczna	201007	1	0	0	0	1	1	0	0	7	3	0	7	3	0
1896252	Demokracja_elektroniczna	201009	4	0	0	0	1	1	0	0	11	4	0	11	4	0
1896252	Demokracja_elektroniczna	201101	2	0	0	0	2	1	0	0	13	6	0	12	5	0
1896252	Demokracja_elektroniczna	201102	3	0	0	0	3	3	0	0	16	9	0	15	8	0
1896252	Demokracja_elektroniczna	201103	1	0	0	0	1	1	0	0	17	10	0	16	9	0
1896252	Demokracja_elektroniczna	201105	3	0	0	0	3	2	0	0	20	13	0	18	11	0
1896252	Demokracja_elektroniczna	201106	1	0	0	0	1	1	0	0	21	14	0	19	12	0
1896252	Demokracja_elektroniczna	201108	1	0	0	0	1	1	0	0	22	14	0	20	12	0
1896252	Demokracja_elektroniczna	201111	2	0	0	0	1	1	0	0	24	15	0	22	13	0
1896252	Demokracja_elektroniczna	201112	2	1	0	0	2	1	1	0	26	17	1	23	14	0
1896252	Demokracja_elektroniczna	201201	1	0	0	0	1	1	0	0	27	18	1	24	15	0
1896252	Demokracja_elektroniczna	201204	3	0	0	0	3	2	0	0	30	20	1	26	16	0
1896252	Demokracja_elektroniczna	201205	1	0	0	0	1	1	0	0	31	21	1	27	17	0
1896252	Demokracja_elektroniczna	201207	1	0	0	0	1	1	0	0	32	22	1	28	18	0
1896252	Demokracja_elektroniczna	201212	1	0	0	0	1	1	0	0	33	23	1	29	19	0
1896252	Demokracja_elektroniczna	201301	1	0	0	0	1	1	0	0	34	23	1	30	19	0
1896252	Demokracja_elektroniczna	201303	2	0	0	0	2	1	0	0	36	25	1	31	20	0
1896252	Demokracja_elektroniczna	201304	2	0	0	0	1	1	0	0	38	26	1	33	21	0
1896252	Demokracja_elektroniczna	201407	2	0	0	0	2	1	0	0	40	28	1	34	22	0
1896252	Demokracja_elektroniczna	201510	1	0	0	0	1	1	0	0	41	29	1	35	23	0
1896252	Demokracja_elektroniczna	201603	1	0	0	0	1	1	0	0	42	30	1	36	24	0
1896252	Demokracja_elektroniczna	201604	1	0	0	0	1	0	0	0	43	31	1	36	24	0
1896252	Demokracja_elektroniczna	201712	1	0	0	0	1	1	0	0	44	31	1	37	24	0
1896252	Demokracja_elektroniczna	201801	2	0	0	0	2	1	0	0	46	33	1	38	25	0
1896252	Demokracja_elektroniczna	201802	3	0	0	0	3	2	0	0	49	35	1	40	26	0
