page_id	title	month	month_edits	month_reverts	month_mutual_reverts	month_mutual_reverts_2	month_users	month_users_reg	month_reverting_users	month_mutual_reverting_users	tot_edits	tot_users	n_reverts	tot_edits_reg	tot_users_reg	n_reverts_reg
17	Användbarhet	200212	1	0	0	0	1	1	0	0	1	1	0	1	1	0
17	Användbarhet	200401	1	0	0	0	1	1	0	0	2	2	0	2	1	0
17	Användbarhet	200408	1	0	0	0	1	0	0	0	3	3	0	2	1	0
17	Användbarhet	200507	1	0	0	0	1	1	0	0	4	4	0	3	2	0
17	Användbarhet	200603	1	0	0	0	1	0	0	0	5	5	0	3	2	0
17	Användbarhet	200604	1	0	0	0	1	0	0	0	6	6	0	3	2	0
17	Användbarhet	200611	2	0	0	0	1	1	0	0	8	7	0	5	3	0
17	Användbarhet	200701	1	0	0	0	1	1	0	0	9	8	0	6	4	0
17	Användbarhet	200702	6	2	0	0	4	3	1	0	15	12	2	10	7	0
17	Användbarhet	200705	3	0	0	0	3	3	0	0	18	15	2	13	10	0
17	Användbarhet	200709	1	0	0	0	1	1	0	0	19	16	2	14	11	0
17	Användbarhet	200806	1	0	0	0	1	0	0	0	20	17	2	14	11	0
17	Användbarhet	200809	1	0	0	0	1	1	0	0	21	18	2	15	12	0
17	Användbarhet	200810	1	0	0	0	1	0	0	0	22	19	2	15	12	0
17	Användbarhet	200812	1	0	0	0	1	1	0	0	23	20	2	16	13	0
17	Användbarhet	200901	1	0	0	0	1	1	0	0	24	21	2	17	14	0
17	Användbarhet	200902	1	0	0	0	1	0	0	0	25	22	2	17	14	0
17	Användbarhet	200905	1	0	0	0	1	1	0	0	26	23	2	18	15	0
17	Användbarhet	200907	3	0	0	0	3	1	0	0	29	26	2	19	16	0
17	Användbarhet	200908	22	0	0	0	1	1	0	0	51	27	2	41	17	0
17	Användbarhet	200909	1	0	0	0	1	1	0	0	52	28	2	42	18	0
17	Användbarhet	200910	1	0	0	0	1	0	0	0	53	29	2	42	18	0
17	Användbarhet	200911	1	0	0	0	1	0	0	0	54	30	2	42	18	0
17	Användbarhet	201001	1	0	0	0	1	0	0	0	55	31	2	42	18	0
17	Användbarhet	201003	3	0	0	0	2	1	0	0	58	33	2	43	19	0
17	Användbarhet	201004	2	0	0	0	2	2	0	0	60	34	2	45	20	0
17	Användbarhet	201006	2	1	0	0	2	2	1	0	62	36	3	47	22	1
17	Användbarhet	201007	1	0	0	0	1	1	0	0	63	37	3	48	23	1
17	Användbarhet	201009	1	0	0	0	1	0	0	0	64	38	3	48	23	1
17	Användbarhet	201011	1	0	0	0	1	0	0	0	65	39	3	48	23	1
17	Användbarhet	201012	3	0	0	0	3	3	0	0	68	40	3	51	24	1
17	Användbarhet	201101	1	0	0	0	1	0	0	0	69	41	3	51	24	1
17	Användbarhet	201103	1	0	0	0	1	1	0	0	70	42	3	52	25	1
17	Användbarhet	201104	1	0	0	0	1	1	0	0	71	43	3	53	26	1
17	Användbarhet	201106	1	0	0	0	1	1	0	0	72	44	3	54	27	1
17	Användbarhet	201112	5	0	0	0	4	3	0	0	77	47	3	58	29	1
17	Användbarhet	201204	1	0	0	0	1	1	0	0	78	48	3	59	30	1
17	Användbarhet	201205	4	1	0	0	2	1	1	0	82	50	4	61	31	1
17	Användbarhet	201302	1	0	0	0	1	1	0	0	83	50	4	62	31	1
17	Användbarhet	201303	2	0	0	0	2	1	0	0	85	51	4	63	31	1
17	Användbarhet	201312	2	1	0	0	2	2	1	0	87	53	5	65	33	1
17	Användbarhet	201401	3	0	0	0	3	2	0	0	90	56	5	67	35	1
17	Användbarhet	201405	3	1	0	0	3	2	1	0	93	59	6	69	37	1
17	Användbarhet	201409	2	0	0	0	2	2	0	0	95	61	6	71	39	1
17	Användbarhet	201410	8	0	0	0	4	4	0	0	103	65	6	79	43	1
17	Användbarhet	201411	2	0	0	0	1	1	0	0	105	65	6	81	43	1
17	Användbarhet	201501	1	0	0	0	1	1	0	0	106	66	6	82	44	1
17	Användbarhet	201505	1	0	0	0	1	1	0	0	107	67	6	83	45	1
17	Användbarhet	201509	1	0	0	0	1	1	0	0	108	67	6	84	45	1
17	Användbarhet	201510	1	0	0	0	1	1	0	0	109	67	6	85	45	1
17	Användbarhet	201707	1	0	0	0	1	0	0	0	110	68	6	85	45	1
17	Användbarhet	201708	3	1	0	0	2	2	1	0	113	69	7	88	46	2
17	Användbarhet	201711	4	0	0	0	2	2	0	0	117	70	7	92	47	2
17	Användbarhet	201712	2	0	0	0	2	2	0	0	119	71	7	94	48	2
17	Användbarhet	201804	1	0	0	0	1	1	0	0	120	71	7	95	48	2
768798	Beslutsfattande	201504	1	0	0	0	1	1	0	0	1	1	0	1	1	0
768798	Beslutsfattande	201509	2	0	0	0	1	1	0	0	3	2	0	3	2	0
768798	Beslutsfattande	201601	1	0	0	0	1	1	0	0	4	3	0	4	3	0
768798	Beslutsfattande	201804	1	0	0	0	1	1	0	0	5	4	0	5	4	0
1883975	Cirkulär_ekonomi	201302	6	0	0	0	5	4	0	0	6	5	0	4	4	0
1883975	Cirkulär_ekonomi	201303	1	0	0	0	1	1	0	0	7	6	0	5	5	0
1883975	Cirkulär_ekonomi	201305	1	0	0	0	1	1	0	0	8	7	0	6	6	0
1883975	Cirkulär_ekonomi	201509	2	0	0	0	2	2	0	0	10	9	0	8	8	0
1883975	Cirkulär_ekonomi	201602	1	0	0	0	1	1	0	0	11	10	0	9	9	0
1883975	Cirkulär_ekonomi	201609	1	0	0	0	1	0	0	0	12	11	0	9	9	0
1883975	Cirkulär_ekonomi	201610	8	0	0	0	2	2	0	0	20	13	0	17	11	0
1883975	Cirkulär_ekonomi	201705	9	6	4	3	3	3	3	2	29	15	6	26	13	6
1883975	Cirkulär_ekonomi	201801	1	0	0	0	1	1	0	0	30	16	6	27	14	6
216830	Decentralisering	200512	3	0	0	0	1	1	0	0	3	1	0	3	1	0
216830	Decentralisering	200608	3	0	0	0	1	0	0	0	6	2	0	3	1	0
216830	Decentralisering	200610	1	0	0	0	1	1	0	0	7	3	0	4	2	0
216830	Decentralisering	200708	1	0	0	0	1	1	0	0	8	4	0	5	3	0
216830	Decentralisering	200710	1	0	0	0	1	1	0	0	9	5	0	6	4	0
216830	Decentralisering	200801	2	0	0	0	2	1	0	0	11	7	0	7	5	0
216830	Decentralisering	200803	1	0	0	0	1	0	0	0	12	8	0	7	5	0
216830	Decentralisering	200812	3	0	0	0	3	3	0	0	15	11	0	10	8	0
216830	Decentralisering	200901	1	0	0	0	1	1	0	0	16	12	0	11	9	0
216830	Decentralisering	200903	4	0	0	0	2	2	0	0	20	14	0	15	11	0
216830	Decentralisering	200904	1	0	0	0	1	1	0	0	21	14	0	16	11	0
216830	Decentralisering	200906	1	0	0	0	1	0	0	0	22	15	0	16	11	0
216830	Decentralisering	200910	1	0	0	0	1	1	0	0	23	16	0	17	12	0
216830	Decentralisering	200911	1	0	0	0	1	1	0	0	24	17	0	18	13	0
216830	Decentralisering	201003	1	0	0	0	1	1	0	0	25	18	0	19	14	0
216830	Decentralisering	201004	1	0	0	0	1	1	0	0	26	19	0	20	15	0
216830	Decentralisering	201005	2	0	0	0	2	2	0	0	28	20	0	22	16	0
216830	Decentralisering	201007	1	0	0	0	1	1	0	0	29	21	0	23	17	0
216830	Decentralisering	201009	1	0	0	0	1	1	0	0	30	22	0	24	18	0
216830	Decentralisering	201012	4	0	0	0	3	2	0	0	34	24	0	26	19	0
216830	Decentralisering	201102	1	0	0	0	1	1	0	0	35	25	0	27	20	0
216830	Decentralisering	201103	1	0	0	0	1	1	0	0	36	26	0	28	21	0
216830	Decentralisering	201105	1	0	0	0	1	1	0	0	37	27	0	29	22	0
216830	Decentralisering	201106	4	1	0	0	4	3	1	0	41	29	1	32	23	0
216830	Decentralisering	201108	1	0	0	0	1	0	0	0	42	30	1	32	23	0
216830	Decentralisering	201109	2	0	0	0	1	1	0	0	44	31	1	34	24	0
216830	Decentralisering	201112	2	0	0	0	2	2	0	0	46	31	1	36	24	0
216830	Decentralisering	201203	1	0	0	0	1	0	0	0	47	32	1	36	24	0
216830	Decentralisering	201206	1	0	0	0	1	1	0	0	48	33	1	37	25	0
216830	Decentralisering	201207	1	0	0	0	1	1	0	0	49	34	1	38	26	0
216830	Decentralisering	201209	4	0	0	0	3	3	0	0	53	36	1	42	28	0
216830	Decentralisering	201210	1	0	0	0	1	1	0	0	54	37	1	43	29	0
216830	Decentralisering	201211	1	0	0	0	1	0	0	0	55	38	1	43	29	0
216830	Decentralisering	201212	1	0	0	0	1	1	0	0	56	39	1	44	30	0
216830	Decentralisering	201303	4	0	0	0	2	2	0	0	60	40	1	48	31	0
216830	Decentralisering	201311	1	0	0	0	1	1	0	0	61	41	1	49	32	0
216830	Decentralisering	201312	1	0	0	0	1	1	0	0	62	42	1	50	33	0
216830	Decentralisering	201503	1	0	0	0	1	1	0	0	63	42	1	51	33	0
216830	Decentralisering	201601	1	0	0	0	1	1	0	0	64	43	1	52	34	0
216830	Decentralisering	201610	1	0	0	0	1	1	0	0	65	44	1	53	35	0
216830	Decentralisering	201612	5	0	0	0	4	4	0	0	70	48	1	58	39	0
1967127	Delningsekonomi	201304	8	0	0	0	4	4	0	0	8	4	0	8	4	0
1967127	Delningsekonomi	201412	1	0	0	0	1	1	0	0	9	5	0	9	5	0
1967127	Delningsekonomi	201502	1	0	0	0	1	1	0	0	10	6	0	10	6	0
1967127	Delningsekonomi	201503	1	0	0	0	1	0	0	0	11	7	0	10	6	0
1967127	Delningsekonomi	201508	1	0	0	0	1	0	0	0	12	8	0	10	6	0
1967127	Delningsekonomi	201512	3	0	0	0	2	1	0	0	15	10	0	12	7	0
1967127	Delningsekonomi	201601	1	0	0	0	1	1	0	0	16	11	0	13	8	0
1967127	Delningsekonomi	201603	1	0	0	0	1	0	0	0	17	12	0	13	8	0
1967127	Delningsekonomi	201604	8	2	0	0	6	2	1	0	25	18	2	17	10	0
1967127	Delningsekonomi	201605	1	0	0	0	1	0	0	0	26	18	2	17	10	0
1967127	Delningsekonomi	201606	2	0	0	0	2	1	0	0	28	20	2	18	11	0
1967127	Delningsekonomi	201608	2	0	0	0	2	1	0	0	30	22	2	19	12	0
1967127	Delningsekonomi	201701	2	0	0	0	1	1	0	0	32	23	2	21	13	0
1967127	Delningsekonomi	201705	1	0	0	0	1	1	0	0	33	24	2	22	14	0
1967127	Delningsekonomi	201706	1	0	0	0	1	1	0	0	34	25	2	23	15	0
1967127	Delningsekonomi	201708	2	0	0	0	1	0	0	0	36	26	2	23	15	0
1967127	Delningsekonomi	201807	2	0	0	0	1	1	0	0	38	27	2	25	16	0
216974	Deltagardemokrati	200512	3	0	0	0	2	2	0	0	3	2	0	3	2	0
216974	Deltagardemokrati	200707	1	0	0	0	1	0	0	0	4	3	0	3	2	0
216974	Deltagardemokrati	200803	2	0	0	0	2	2	0	0	6	5	0	5	4	0
216974	Deltagardemokrati	200808	2	0	0	0	2	2	0	0	8	7	0	7	6	0
216974	Deltagardemokrati	200810	1	0	0	0	1	1	0	0	9	8	0	8	7	0
216974	Deltagardemokrati	200901	1	1	0	0	1	1	1	0	10	9	1	9	8	1
216974	Deltagardemokrati	200904	1	0	0	0	1	1	0	0	11	10	1	10	9	1
216974	Deltagardemokrati	200909	1	0	0	0	1	1	0	0	12	11	1	11	10	1
216974	Deltagardemokrati	201001	3	0	0	0	3	3	0	0	15	14	1	14	13	1
216974	Deltagardemokrati	201103	1	0	0	0	1	1	0	0	16	15	1	15	14	1
216974	Deltagardemokrati	201104	1	0	0	0	1	1	0	0	17	16	1	16	15	1
216974	Deltagardemokrati	201107	1	0	0	0	1	1	0	0	18	16	1	17	15	1
216974	Deltagardemokrati	201108	1	0	0	0	1	1	0	0	19	17	1	18	16	1
216974	Deltagardemokrati	201110	1	0	0	0	1	1	0	0	20	18	1	19	17	1
216974	Deltagardemokrati	201204	1	0	0	0	1	1	0	0	21	18	1	20	17	1
216974	Deltagardemokrati	201303	1	0	0	0	1	1	0	0	22	19	1	21	18	1
216974	Deltagardemokrati	201510	1	0	0	0	1	1	0	0	23	20	1	22	19	1
216974	Deltagardemokrati	201511	2	1	0	0	2	1	1	0	25	22	2	23	20	1
216974	Deltagardemokrati	201609	3	0	0	0	1	1	0	0	28	23	2	26	21	1
216974	Deltagardemokrati	201610	2	0	0	0	2	2	0	0	30	24	2	28	22	1
216974	Deltagardemokrati	201702	1	0	0	0	1	1	0	0	31	25	2	29	23	1
861523	Digital_klyfta	200809	12	0	0	0	7	7	0	0	12	7	0	12	7	0
861523	Digital_klyfta	200810	2	0	0	0	2	2	0	0	14	9	0	14	9	0
861523	Digital_klyfta	200812	1	0	0	0	1	1	0	0	15	9	0	15	9	0
861523	Digital_klyfta	200902	1	0	0	0	1	1	0	0	16	10	0	16	10	0
861523	Digital_klyfta	200905	1	0	0	0	1	1	0	0	17	11	0	17	11	0
861523	Digital_klyfta	200907	1	0	0	0	1	1	0	0	18	12	0	18	12	0
861523	Digital_klyfta	200910	1	0	0	0	1	1	0	0	19	13	0	19	13	0
861523	Digital_klyfta	200911	1	0	0	0	1	1	0	0	20	14	0	20	14	0
861523	Digital_klyfta	201004	1	0	0	0	1	1	0	0	21	15	0	21	15	0
861523	Digital_klyfta	201012	1	0	0	0	1	1	0	0	22	16	0	22	16	0
861523	Digital_klyfta	201101	1	0	0	0	1	1	0	0	23	17	0	23	17	0
861523	Digital_klyfta	201104	1	0	0	0	1	1	0	0	24	18	0	24	18	0
861523	Digital_klyfta	201111	1	0	0	0	1	1	0	0	25	18	0	25	18	0
861523	Digital_klyfta	201112	2	0	0	0	1	1	0	0	27	19	0	27	19	0
861523	Digital_klyfta	201205	2	0	0	0	2	2	0	0	29	20	0	29	20	0
861523	Digital_klyfta	201212	1	0	0	0	1	1	0	0	30	21	0	30	21	0
861523	Digital_klyfta	201303	1	0	0	0	1	1	0	0	31	22	0	31	22	0
861523	Digital_klyfta	201311	1	0	0	0	1	1	0	0	32	23	0	32	23	0
861523	Digital_klyfta	201408	1	0	0	0	1	1	0	0	33	24	0	33	24	0
