page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
29268	Accesibilidad_web	316	181	24	41	0	0	0	0	188	95	4	23	0	0	0	0	0
728314	Acceso_abierto	254	116	8	11	0	0	0	0	212	96	4	8	0	0	0	0	0
401453	Administración_de_identidades	35	24	0	0	0	0	0	0	25	16	0	0	0	0	0	0	0
7509840	Aprendizaje_digital	6	4	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0
86365	Aprovisionamiento_electrónico	61	42	8	12	0	0	0	0	41	29	2	6	0	0	0	0	0
149568	Brecha_digital	787	371	147	172	8	7	22	133	416	177	17	72	0	0	0	0	0
7134691	Burbuja_de_filtro	37	20	1	2	0	0	0	0	36	19	1	2	0	0	0	0	0
2137677	Calidad_de_experiencia	50	22	0	0	0	0	0	0	36	13	0	0	0	0	0	0	0
6036760	Ciudad_inteligente	519	72	14	22	0	0	0	0	474	44	3	12	0	0	0	0	0
1821892	Ciudadanía_digital	406	201	104	117	2	2	4	0	225	82	7	35	0	0	0	0	0
569326	Comercio_electrónico	1817	887	542	561	26	24	177	4200	867	291	97	186	4	4	111	28	0
589860	Computación_ubicua	142	98	18	23	0	0	0	0	77	49	0	9	0	0	0	0	0
128755	Comunidad_virtual	825	393	214	209	10	8	118	856	409	157	20	75	0	0	0	0	0
745070	Conexión_a_Internet	279	172	68	98	0	0	0	0	124	72	2	39	0	0	0	0	0
7622655	Cámara_de_eco_(medios)	22	14	1	2	0	0	0	0	12	10	0	1	0	0	0	0	0
458	Código_abierto	640	368	120	164	0	0	0	0	362	172	13	68	0	0	0	0	0
3391654	Datos_abiertos	151	71	3	5	0	0	0	0	125	54	2	4	0	0	0	0	0
664754	Delito_informático	1057	487	291	291	6	6	17	48	512	166	30	89	2	2	3	0	0
2011966	Democracia_digital	177	109	15	26	0	0	0	0	141	82	5	17	0	0	0	0	0
153881	Democracia_participativa	649	383	175	215	2	2	30	0	334	142	17	81	0	0	0	0	0
5506028	Derecho_al_olvido	182	69	11	19	0	0	0	0	129	41	2	9	0	0	0	0	0
6148502	Derecho_de_acceso_a_Internet	25	21	4	8	0	0	0	0	17	15	0	4	0	0	0	0	0
735567	Derecho_de_autor	1966	940	540	576	14	14	49	616	1120	367	49	165	0	0	0	0	0
898373	Derecho_de_la_competencia	371	104	19	25	2	2	4	0	283	60	5	13	2	2	4	0	0
124040	Descentralización	411	248	93	118	6	6	8	24	233	114	16	48	2	2	4	0	0
2399137	Desigualdad_de_ingreso	138	72	22	35	0	0	0	0	98	42	3	17	0	0	0	0	0
492906	Desigualdad_social	953	510	301	339	8	8	27	104	477	160	21	96	0	0	0	0	0
65534	Discriminación	3787	1826	1389	1421	14	13	52	585	1805	414	92	283	6	6	13	36	0
3116856	Discriminación_de_precios	75	58	6	12	0	0	0	0	29	21	0	5	0	0	0	0	0
1205313	Diseño_centrado_en_el_usuario	46	37	5	9	0	0	0	0	27	21	1	5	0	0	0	0	0
4435600	E-gobierno	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
621392	ESalud	136	79	13	19	2	2	2	0	101	53	6	12	0	0	0	0	0
7259895	Economía_circular	61	33	1	2	0	0	0	0	51	24	0	1	0	0	0	0	0
6597296	Economía_digital	33	24	3	5	0	0	0	0	28	19	1	3	0	0	0	0	0
40193	Educación_a_distancia	1270	577	229	218	8	7	126	231	728	267	78	105	4	4	31	112	0
2657339	Empoderamiento	191	106	24	37	2	2	2	0	130	62	6	20	0	0	0	0	0
7937263	Enfoque_multidisciplinar	7	6	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0
9094	Escalabilidad	132	92	20	35	0	0	0	0	83	53	1	16	0	0	0	0	0
313599	Estándar_abierto	101	61	2	4	0	0	0	0	92	53	1	3	0	0	0	0	0
325611	Experiencia_de_usuario	122	72	11	16	2	2	4	0	101	58	7	12	2	2	4	0	0
8330509	Fake_news	36	10	2	3	0	0	0	0	31	7	0	1	0	0	0	0	0
5688	Globalización	3929	1764	1173	1139	32	28	83	2156	1947	466	143	267	4	4	13	24	0
7688767	Gobernanza_de_Internet	19	7	0	0	0	0	0	0	19	7	0	0	0	0	0	0	0
2619310	Green_computing	196	88	16	27	0	0	0	0	138	43	0	11	0	0	0	0	0
3677567	Información_personal	81	49	11	21	0	0	0	0	57	33	4	13	0	0	0	0	0
2465073	Infoética	56	32	5	8	0	0	0	0	32	22	0	3	0	0	0	0	0
107159	Innovación	1957	909	642	639	14	12	20	216	977	269	44	150	2	2	2	0	0
2732539	Innovación_abierta	98	61	5	8	0	0	0	0	68	39	1	5	0	0	0	0	0
4414230	Innovación_social	89	44	8	13	0	0	0	0	70	35	3	8	0	0	0	0	0
97638	Interoperabilidad	85	64	7	13	0	0	0	0	50	38	0	6	0	0	0	0	0
2908413	Legislación_acerca_de_libertad_de_información	45	30	0	0	0	0	0	0	39	25	0	0	0	0	0	0	0
153827	Libertad_de_expresión	1097	582	312	357	12	12	42	396	531	224	38	117	2	2	6	0	0
1870352	Medios_sociales	338	198	44	59	4	4	8	12	211	103	7	26	0	0	0	0	0
7828459	Mercado_Único_Digital	4	4	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0
