page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
2978950	Accessibilité_du_web	826	244	58	50	8	5	81	255	630	166	36	33	8	5	81	255	0
2751077	Accès_à_internet	86	52	5	8	0	0	0	0	69	40	1	4	0	0	0	0	0
11495705	Biais_algorithmique	21	11	1	2	0	0	0	0	11	8	0	1	0	0	0	0	0
7465983	Biens_communs_informationnels	33	13	2	2	2	2	2	0	33	13	2	2	2	2	2	0	0
7702152	Biens_communs_numériques	11	9	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
6033171	Bulle_de_filtres	70	48	1	2	0	0	0	0	62	41	0	1	0	0	0	0	0
10646358	Chambre_d'écho_(médias)	4	3	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0
571228	Ciblage	44	30	0	0	0	0	0	0	38	24	0	0	0	0	0	0	0
5582024	Commerce_électronique	877	437	141	184	2	2	7	0	608	252	35	93	2	2	7	0	0
10692147	Communication_sécurisée	11	3	0	0	0	0	0	0	11	3	0	0	0	0	0	0	0
4433848	Conception_centrée_sur_l'utilisateur	40	26	2	4	0	0	0	0	31	20	0	2	0	0	0	0	0
9389	Copyright	355	201	85	94	4	4	5	12	231	116	15	41	0	0	0	0	0
1774117	Cybercrime	293	145	31	38	8	6	9	36	213	92	12	23	0	0	0	0	0
469901	Cyberdémocratie	149	102	11	21	0	0	0	0	114	72	1	11	0	0	0	0	0
7634533	Digital_learning	53	19	0	0	0	0	0	0	25	15	0	0	0	0	0	0	0
112322	Discrimination	1393	720	364	401	20	17	85	1377	777	317	38	152	0	0	0	0	0
396638	Discrimination_par_les_prix	79	56	4	8	0	0	0	0	53	41	0	4	0	0	0	0	0
715220	Données_personnelles	328	153	26	31	0	0	0	0	235	109	5	17	0	0	0	0	0
366228	Droit_de_la_concurrence	162	99	4	8	0	0	0	0	118	69	0	4	0	0	0	0	0
8203838	Droit_à_l'oubli	57	31	4	7	0	0	0	0	51	27	0	4	0	0	0	0	0
1021218	Durabilité	188	94	4	7	0	0	0	0	168	75	1	4	0	0	0	0	0
111096	Décentralisation	385	231	52	68	2	2	4	0	248	142	6	32	0	0	0	0	0
72015	Démocratie_participative	693	377	55	87	2	2	4	0	492	230	20	56	0	0	0	0	0
81250	E-Gouvernement	154	85	7	12	0	0	0	0	116	56	1	6	0	0	0	0	0
678392	E-procurement	55	30	6	10	0	0	0	0	40	19	2	7	0	0	0	0	0
1994539	E-santé	40	18	0	0	0	0	0	0	37	15	0	0	0	0	0	0	0
1105452	Empowerment	226	111	6	10	0	0	0	0	192	85	3	6	0	0	0	0	0
5540073	Expérience_utilisateur	136	76	10	16	0	0	0	0	92	52	3	10	0	0	0	0	0
10624642	Fake_news	343	115	43	56	0	0	0	0	296	82	14	35	0	0	0	0	0
11313780	Fiabilité_(réseau_informatique)	12	9	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0
13791	Format_ouvert	289	150	14	20	4	3	6	12	219	108	3	10	0	0	0	0	0
94881	Formation_à_distance	323	185	22	30	4	4	6	8	210	120	7	17	0	0	0	0	0
32194	Fracture_numérique_(géographique)	302	175	10	20	0	0	0	0	238	126	0	9	0	0	0	0	0
10472918	Gestion_des_identités_et_des_accès	42	10	1	2	0	0	0	0	38	7	0	1	0	0	0	0	0
1231328	Gouvernance_d'Internet	107	53	3	6	0	0	0	0	94	41	0	3	0	0	0	0	0
1066408	Identité_numérique	733	293	68	82	0	0	0	0	564	184	17	46	0	0	0	0	0
3480419	Informatique_durable	406	93	9	13	0	0	0	0	373	67	1	6	0	0	0	0	0
1656011	Informatique_ubiquitaire	160	88	2	4	0	0	0	0	145	74	1	3	0	0	0	0	0
236292	Innovation	1737	568	192	212	22	17	69	1139	1283	291	54	98	6	5	37	175	0
1805357	Innovation_ouverte	217	122	6	11	0	0	0	0	154	85	4	9	0	0	0	0	0
6225212	Innovation_sociale	120	38	1	2	0	0	0	0	98	25	1	2	0	0	0	0	0
83017	Internet_citoyen	51	43	6	12	0	0	0	0	36	32	2	8	0	0	0	0	0
19387	Interopérabilité	369	212	19	30	0	0	0	0	270	146	3	14	0	0	0	0	0
54761	Intérim_(travail)	301	194	34	41	4	4	31	76	190	113	15	20	4	4	31	76	0
