page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
1433428	Antitrust	143	98	14	26	0	0	0	0	74	55	1	11	0	0	0	0	0
5227380	Bolla_di_filtraggio	29	22	0	0	0	0	0	0	23	18	0	0	0	0	0	0	0
6415869	Camera_dell'eco	18	7	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0
2750000	Cittadinanza_digitale	54	38	8	14	0	0	0	0	30	20	2	9	0	0	0	0	0
4037910	Città_intelligente	137	75	13	20	0	0	0	0	85	42	1	10	0	0	0	0	0
51797	Commercio_elettronico	624	319	125	151	6	5	13	30	381	165	29	70	0	0	0	0	0
934765	Community_network	37	20	0	0	0	0	0	0	28	18	0	0	0	0	0	0	0
3683992	Computer-supported_collaboration	19	10	0	0	0	0	0	0	19	10	0	0	0	0	0	0	0
1416842	Comunità_virtuale	259	143	43	60	2	2	2	0	179	88	13	34	2	2	2	0	0
926	Copyright	655	391	118	159	4	4	5	8	410	218	20	76	0	0	0	0	0
1156321	Crimine_informatico	131	75	9	17	0	0	0	0	93	52	1	8	0	0	0	0	0
2896240	Dati_aperti	199	84	3	6	0	0	0	0	105	56	1	4	0	0	0	0	0
229811	Dati_personali	41	33	2	4	0	0	0	0	32	25	0	2	0	0	0	0	0
2482419	Decentramento	72	50	6	10	0	0	0	0	56	37	0	5	0	0	0	0	0
97202	Digital_divide	438	211	29	45	0	0	0	0	263	114	3	25	0	0	0	0	0
1336651	Diritto_all'oblio	355	121	12	16	2	2	6	0	322	94	5	10	2	2	6	0	0
5503709	Diritto_di_accesso_a_Internet	42	17	5	6	2	2	6	0	38	13	4	5	2	2	6	0	0
830292	Discriminazione	218	131	36	50	6	5	13	55	154	81	8	24	0	0	0	0	0
4107335	Disuguaglianza_economica	125	57	5	8	0	0	0	0	95	36	0	4	0	0	0	0	0
477208	Disuguaglianza_sociale	41	30	4	6	0	0	0	0	28	22	0	3	0	0	0	0	0
1476649	E-democracy	206	105	18	29	0	0	0	0	152	60	1	8	0	0	0	0	0
3699163	E-government	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
1077804	E-health	71	52	4	6	2	2	2	0	53	39	2	4	0	0	0	0	0
464056	E-procurement	139	59	8	9	0	0	0	0	101	38	2	4	0	0	0	0	0
5648519	Economia_circolare	47	36	4	8	0	0	0	0	33	26	1	5	0	0	0	0	0
2539291	Economia_verde	279	102	21	33	0	0	0	0	208	60	1	14	0	0	0	0	0
2064463	Empowerment	120	58	9	8	0	0	0	0	87	38	6	5	0	0	0	0	0
6377292	Fake_news	167	73	26	30	4	3	29	9	106	44	9	16	2	2	3	0	0
