page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
849576	Afstandsonderwijs	107	68	6	11	0	0	0	0	83	53	3	8	0	0	0	0	0
4576627	Algemene_verordening_gegevensbescherming	103	45	4	7	0	0	0	0	89	33	2	5	0	0	0	0	0
237	Auteursrecht	691	341	87	126	4	4	5	12	511	216	20	68	4	4	5	12	0
62700	Bruikbaarheid	147	90	21	30	4	4	12	16	109	61	8	17	4	4	12	16	0
44076	Computercriminaliteit	180	94	10	18	0	0	0	0	154	78	3	11	0	0	0	0	0
41508	Decentralisatie	67	50	0	0	0	0	0	0	63	47	0	0	0	0	0	0	0
4014455	Deeleconomie	28	22	2	4	0	0	0	0	18	16	0	2	0	0	0	0	0
601413	Digitale_kloof	86	46	1	2	0	0	0	0	78	43	1	2	0	0	0	0	0
13366	Discriminatie	754	348	176	224	4	4	7	8	515	199	31	110	2	2	2	0	0
141209	Duurzaamheid	53	27	5	8	0	0	0	0	33	19	3	6	0	0	0	0	0
736669	E-government	78	54	3	6	0	0	0	0	72	49	1	4	0	0	0	0	0
1084660	E-procurement	41	28	5	8	0	0	0	0	28	19	0	3	0	0	0	0	0
2160392	EHealth	159	44	7	7	0	0	0	0	144	38	3	5	0	0	0	0	0
78354	Electronic_commerce	238	132	21	38	2	2	3	0	163	89	3	19	2	2	3	0	0
646301	Gebruikersbeheer	95	62	7	12	0	0	0	0	68	39	2	8	0	0	0	0	0
2723005	Gepersonaliseerd_adverteren	20	11	0	0	0	0	0	0	18	10	0	0	0	0	0	0	0
4758677	Informatieluchtbel	18	10	0	0	0	0	0	0	18	10	0	0	0	0	0	0	0
1187231	Informatiemaatschappij	28	22	1	2	0	0	0	0	28	22	1	2	0	0	0	0	0
50742	Innovatie	331	194	53	82	0	0	0	0	243	133	17	49	0	0	0	0	0
9746	Intellectuele_eigendom	291	137	15	24	2	2	3	0	235	98	5	15	2	2	3	0	0
341796	Internetfraude	109	66	11	17	2	2	4	0	95	56	4	11	0	0	0	0	0
3760824	Internettoegang	34	16	0	0	0	0	0	0	34	16	0	0	0	0	0	0	0
2905715	Interoperabiliteit	28	16	0	0	0	0	0	0	26	14	0	0	0	0	0	0	0
1785322	Jeugdzorg_(algemeen)	52	31	5	10	0	0	0	0	40	23	1	6	0	0	0	0	0
4417851	Kringloopeconomie	57	21	2	4	0	0	0	0	51	18	0	2	0	0	0	0	0
1269793	Level_playing_field	12	10	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
