page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
3691161	Bańka_filtrująca	12	7	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0
649306	D-learning	42	35	1	2	0	0	0	0	39	32	0	1	0	0	0	0	0
1328	Dane_osobowe	126	76	25	28	6	5	14	55	81	49	7	16	0	0	0	0	0
164121	Decentralizacja	87	60	5	8	2	2	4	0	78	52	2	5	2	2	4	0	0
1896252	Demokracja_elektroniczna	51	35	1	2	0	0	0	0	42	26	0	1	0	0	0	0	0
136015	Demokracja_uczestnicząca	85	59	1	2	0	0	0	0	77	52	1	2	0	0	0	0	0
182928	Dostępność_(WWW)	89	61	4	8	0	0	0	0	66	43	2	6	0	0	0	0	0
132117	Dyskryminacja_(psychologia_społeczna)	191	114	20	31	2	2	2	0	146	74	6	17	2	2	2	0	0
421069	Dyskryminacja_cenowa	32	29	0	0	0	0	0	0	30	27	0	0	0	0	0	0	0
3104833	E-Government	24	19	0	0	0	0	0	0	20	16	0	0	0	0	0	0	0
1331794	E-gospodarka	26	12	1	2	0	0	0	0	22	9	0	1	0	0	0	0	0
1330242	E-procurement	39	26	2	4	0	0	0	0	31	21	0	2	0	0	0	0	0
1377364	E-zdrowie	42	31	4	8	0	0	0	0	32	23	1	5	0	0	0	0	0
3154130	Edukacja_globalna	7	6	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0
3493339	Ekonomia_współpracy	57	19	0	0	0	0	0	0	51	15	0	0	0	0	0	0	0
1232204	Empowerment_(zarządzanie)	38	27	0	0	0	0	0	0	28	23	0	0	0	0	0	0	0
1228212	Etyka_informacji	14	14	0	0	0	0	0	0	14	14	0	0	0	0	0	0	0
4066749	Fake_news	53	21	4	8	0	0	0	0	48	16	1	5	0	0	0	0	0
89688	Globalizacja	443	281	80	128	4	4	4	8	279	152	10	61	0	0	0	0	0
4150587	Gospodarka_obiegu_zamkniętego	6	3	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0
1122253	Głosowanie_elektroniczne	59	40	0	0	0	0	0	0	53	35	0	0	0	0	0	0	0
87094	Handel_elektroniczny	207	132	17	31	0	0	0	0	148	93	6	20	0	0	0	0	0
3302263	Inteligentne_miasto	20	10	1	2	0	0	0	0	19	9	0	1	0	0	0	0	0
2786852	Interoperacyjność	13	9	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
150005	Inwigilacja	95	62	13	26	0	0	0	0	62	37	2	15	0	0	0	0	0
2495044	Media_społecznościowe	68	43	4	8	0	0	0	0	58	37	2	6	0	0	0	0	0
1497057	Monitoring_pracy_komputera	13	11	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
3960	Monopol	159	109	11	22	0	0	0	0	137	91	4	15	0	0	0	0	0
2380267	Neutralność_sieci	24	16	1	2	0	0	0	0	22	14	0	1	0	0	0	0	0
656034	Nierówności_społeczne	51	33	5	10	0	0	0	0	41	25	1	5	0	0	0	0	0
3827815	Ogólne_rozporządzenie_o_ochronie_danych	61	36	3	6	0	0	0	0	45	23	0	3	0	0	0	0	0
934815	Open_innovation	43	29	2	4	0	0	0	0	37	24	1	3	0	0	0	0	0
59532	Otwarte_oprogramowanie	211	127	14	28	0	0	0	0	143	93	2	16	0	0	0	0	0
1421894	Otwarty_dostęp	94	55	2	4	0	0	0	0	85	47	1	3	0	0	0	0	0
628058	Otwarty_standard	53	41	2	4	0	0	0	0	44	35	1	3	0	0	0	0	0
4762	Peer-to-peer	466	290	69	101	0	0	0	0	288	160	4	42	0	0	0	0	0
3956152	Postprawda	19	13	0	0	0	0	0	0	16	11	0	0	0	0	0	0	0
978978	Praca_tymczasowa	34	24	3	6	0	0	0	0	29	19	1	4	0	0	0	0	0
4868	Prawo_autorskie	834	426	252	304	2	2	16	0	485	200	27	106	0	0	0	0	0
1975670	Prawo_konkurencji	19	14	0	0	0	0	0	0	17	12	0	0	0	0	0	0	0
76233	Proces_decyzyjny	59	47	5	10	0	0	0	0	45	35	1	6	0	0	0	0	0
1097703	Projektowanie_zorientowane_na_użytkownika	25	21	1	2	0	0	0	0	24	20	1	2	0	0	0	0	0
185804	Przestępczość_komputerowa	107	71	21	30	2	2	6	0	87	55	8	19	2	2	6	0	0
147896	Przetwarzanie_bez_granic	28	24	2	4	0	0	0	0	24	21	1	3	0	0	0	0	0
1449856	Secure_Electronic_Transaction	12	8	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0
1388972	Secure_by_design	13	12	0	0	0	0	0	0	12	11	0	0	0	0	0	0	0
