page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
3153946	Secure_Electronic_Transaction	21	11	0	0	0	0	0	0	21	11	0	0	0	0	0	0	0
30528	Авторское_право	922	449	131	158	10	9	20	162	638	235	35	60	8	7	18	112	0
6155808	Безопасность_сети	16	6	2	4	0	0	0	0	14	4	1	3	0	0	0	0	0
903658	Гиперподключенность	11	7	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0
31449	Глобализация	871	383	115	137	2	2	9	0	572	185	24	48	2	2	9	0	0
21122	Децентрализация	55	36	1	2	0	0	0	0	45	31	1	2	0	0	0	0	0
143321	Дискриминация	282	157	32	47	0	0	0	0	191	93	7	20	0	0	0	0	0
44298	Дистанционное_обучение	606	283	96	109	6	6	47	240	390	146	36	53	6	6	47	240	0
3911155	Дифференциация_доходов_населения	16	13	0	0	0	0	0	0	15	12	0	0	0	0	0	0	0
1655514	Доступ_в_Интернет	79	61	6	12	0	0	0	0	59	44	0	5	0	0	0	0	0
4301752	Защита_детей	130	23	1	2	0	0	0	0	19	13	0	1	0	0	0	0	0
355471	Зелёная_экономика	101	58	2	3	0	0	0	0	87	49	1	2	0	0	0	0	0
267631	Инновация	426	229	32	46	2	2	2	0	304	129	7	20	0	0	0	0	0
378149	Интеллектуальная_собственность	447	230	32	55	0	0	0	0	277	112	5	24	0	0	0	0	0
388014	Интероперабельность	63	31	0	0	0	0	0	0	59	29	0	0	0	0	0	0	0
1690927	Информационная_этика	38	22	2	4	0	0	0	0	33	17	0	2	0	0	0	0	0
281921	Информационное_общество	601	281	81	102	6	5	8	30	271	137	11	34	0	0	0	0	0
146166	Информационный_взрыв	87	48	5	10	0	0	0	0	61	36	2	7	0	0	0	0	0
655688	Конкурентное_право	128	83	3	5	0	0	0	0	83	49	0	2	0	0	0	0	0
169892	Масштабируемость	66	43	1	2	0	0	0	0	56	35	1	2	0	0	0	0	0
83581	Монополия	457	276	58	94	0	0	0	0	226	112	4	29	0	0	0	0	0
1770710	Негласное_наблюдение	75	44	4	8	0	0	0	0	53	31	1	5	0	0	0	0	0
2016790	Образовательные_технологии	52	34	2	4	0	0	0	0	29	22	0	1	0	0	0	0	0
7202127	Общий_регламент_по_защите_данных	57	26	1	2	0	0	0	0	51	20	0	1	0	0	0	0	0
10167	Одноранговая_сеть	602	291	45	70	2	2	4	0	344	130	8	29	2	2	4	0	0
3192288	Опыт_взаимодействия	87	32	2	3	0	0	0	0	68	19	1	2	0	0	0	0	0
3287785	Ориентированное_на_пользователя_проектирование	31	14	0	0	0	0	0	0	30	13	0	0	0	0	0	0	0
9619	Открытое_программное_обеспечение	448	204	24	36	0	0	0	0	282	128	8	19	0	0	0	0	0
3580405	Открытые_данные	54	31	8	11	0	0	0	0	39	21	3	7	0	0	0	0	0
3915175	Открытые_инновации	13	7	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0
891385	Открытый_доступ	96	55	1	2	0	0	0	0	87	47	1	2	0	0	0	0	0
180507	Открытый_стандарт	139	59	2	4	0	0	0	0	108	45	1	3	0	0	0	0	0
1715242	Персональные_данные	251	119	19	29	0	0	0	0	158	62	6	16	0	0	0	0	0
6181253	Повсеместные_вычисления	26	10	0	0	0	0	0	0	24	9	0	0	0	0	0	0	0
972368	Подрывные_инновации	74	54	5	10	0	0	0	0	52	40	1	6	0	0	0	0	0
6660806	Политика_постправды	161	65	8	10	0	0	0	0	133	49	4	6	0	0	0	0	0
5306465	Право_на_забвение	52	30	4	4	2	2	4	0	31	21	1	2	0	0	0	0	0
7175536	Право_на_интернет-доступ	11	3	0	0	0	0	0	0	11	3	0	0	0	0	0	0	0
2115721	Преступления_в_сфере_информационных_технологий	126	69	10	17	0	0	0	0	63	37	1	6	0	0	0	0	0
19314	Принцип_Керкгоффса	74	48	2	4	0	0	0	0	53	34	1	3	0	0	0	0	0
1691368	Принятие_решений	32	9	0	0	0	0	0	0	31	8	0	0	0	0	0	0	0
1299585	Программа_отслеживания	20	18	1	2	0	0	0	0	16	14	0	1	0	0	0	0	0
3721440	Пузырь_фильтров	52	32	0	0	0	0	0	0	39	23	0	0	0	0	0	0	0
2418011	Резервирование	81	34	0	0	0	0	0	0	67	24	0	0	0	0	0	0	0
142427	Свобода_слова	306	152	46	63	2	2	2	0	218	89	7	28	2	2	2	0	0
354107	Сетевой_нейтралитет	71	51	1	2	0	0	0	0	60	42	0	1	0	0	0	0	0
941081	Социальная_сеть	1517	703	389	389	14	12	55	636	932	293	129	148	6	6	41	234	0
1464852	Социальное_неравенство	164	73	12	17	2	2	4	0	91	41	3	9	0	0	0	0	0
6076498	Социальные_инновации	69	14	0	0	0	0	0	0	62	10	0	0	0	0	0	0	0
2710042	Социальные_медиа	184	81	3	6	0	0	0	0	144	55	0	3	0	0	0	0	0
241150	Таргетинг	89	58	9	13	2	2	5	0	57	35	5	8	2	2	5	0	0
6593950	Умный_город	36	18	0	0	0	0	0	0	28	12	0	0	0	0	0	0	0
318864	Управление_Интернетом	102	56	3	6	0	0	0	0	86	43	2	5	0	0	0	0	0
4954180	Управление_учётными_данными	18	7	0	0	0	0	0	0	16	5	0	0	0	0	0	0	0
3344612	Устойчивость_окружающей_среды	65	28	1	2	0	0	0	0	53	20	0	0	0	0	0	0	0
6761833	Фальшивые_новости	62	21	2	3	0	0	0	0	55	15	0	1	0	0	0	0	0
6863549	Финансовые_технологии	18	13	1	2	0	0	0	0	16	11	1	2	0	0	0	0	0
1138503	Ценовая_дискриминация	54	41	1	2	0	0	0	0	41	29	0	1	0	0	0	0	0
120967	Цифровой_барьер	75	57	0	0	0	0	0	0	60	45	0	0	0	0	0	0	0
7171301	Цифровой_единый_рынок	7	4	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0
7223350	Экономика_замкнутого_цикла	7	4	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0
2145593	Электронная_демократия	202	91	10	11	2	2	3	0	145	57	3	3	0	0	0	0	0
35767	Электронная_коммерция	387	194	44	60	0	0	0	0	247	109	14	31	0	0	0	0	0
2364839	Электронная_экономика	60	32	3	5	0	0	0	0	51	24	1	3	0	0	0	0	0
1690745	Электронное_голосование	68	33	2	2	0	0	0	0	59	25	2	2	0	0	0	0	0
212846	Электронное_государство	114	69	3	6	0	0	0	0	85	52	1	4	0	0	0	0	0
4999453	Эхо-камера	17	12	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0
76414	Юзабилити	381	196	46	59	4	4	29	96	234	94	13	31	0	0	0	0	0
