page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
8157000	Allmänna_dataskyddsförordningen	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
17	Användbarhet	121	72	7	12	0	0	0	0	96	49	2	8	0	0	0	0	0
768798	Beslutsfattande	6	5	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0
1883975	Cirkulär_ekonomi	31	17	6	3	2	2	9	0	28	15	6	3	2	2	9	0	0
216830	Decentralisering	73	51	1	2	0	0	0	0	60	41	0	1	0	0	0	0	0
1967127	Delningsekonomi	39	28	2	3	0	0	0	0	26	17	0	1	0	0	0	0	0
216974	Deltagardemokrati	32	25	2	4	0	0	0	0	30	23	1	3	0	0	0	0	0
861523	Digital_klyfta	42	30	0	0	0	0	0	0	39	28	0	0	0	0	0	0	0
35434	Diskriminering	496	176	51	58	10	8	175	1368	423	115	28	38	10	8	175	1368	0
311968	Distansundervisning	24	21	0	0	0	0	0	0	14	14	0	0	0	0	0	0	0
591395	E-demokrati	55	38	3	6	0	0	0	0	48	32	1	4	0	0	0	0	0
356686	E-handel	260	112	14	25	0	0	0	0	205	79	5	16	0	0	0	0	0
1191172	E-hälsa	42	25	0	0	0	0	0	0	37	22	0	0	0	0	0	0	0
297094	Egenmakt	41	32	1	2	0	0	0	0	35	27	0	1	0	0	0	0	0
7998745	Ekokammare	8	6	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0
7999827	Fejknyheter	48	21	1	2	0	0	0	0	43	17	0	1	0	0	0	0	0
5003479	Filterbubbla	39	20	1	2	0	0	0	0	30	18	0	1	0	0	0	0	0
7974612	Fintech	8	3	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0
2195740	Global_basinkomst	88	13	1	2	0	0	0	0	85	10	0	1	0	0	0	0	0
62282	Globalisering	307	188	61	87	2	2	4	0	180	110	5	43	0	0	0	0	0
831336	Grön_IT	37	26	0	0	0	0	0	0	35	24	0	0	0	0	0	0	0
3879334	Grön_ekonomi	15	4	0	0	0	0	0	0	15	4	0	0	0	0	0	0	0
1142103	Immaterialrätt	137	75	3	6	0	0	0	0	115	58	0	3	0	0	0	0	0
672373	Informationssamhälle	67	46	8	5	2	2	5	0	51	34	1	1	0	0	0	0	0
165112	Innovation	286	141	14	23	0	0	0	0	227	102	4	14	0	0	0	0	0
317070	Internetuppkoppling	57	33	2	4	0	0	0	0	42	27	0	2	0	0	0	0	0
142360	Interoperabilitet	30	25	0	0	0	0	0	0	27	22	0	0	0	0	0	0	0
2806818	Konkurrenslag	7	5	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0
342494	Monopol	213	138	27	42	2	2	8	0	154	88	2	20	0	0	0	0	0
1502813	Nätbedrägeri	9	7	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0
363542	Nätbrottslighet	77	49	3	6	0	0	0	0	69	42	2	5	0	0	0	0	0
523808	Nätneutralitet	47	29	2	4	0	0	0	0	42	26	0	2	0	0	0	0	0
931361	Ojämlikhet	71	34	1	2	0	0	0	0	62	30	1	2	0	0	0	0	0
575769	One-to-one-marknadsföring	27	16	2	2	0	0	0	0	21	14	0	1	0	0	0	0	0
4400	P2P-nätverk	136	81	2	4	0	0	0	0	98	52	0	2	0	0	0	0	0
84897	Polarisering_(samhälle)	24	17	1	2	0	0	0	0	16	10	0	1	0	0	0	0	0
7988539	Postfaktisk_politik	10	4	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0
412682	Prisdiskriminering	17	17	0	0	0	0	0	0	13	13	0	0	0	0	0	0	0
835743	Sociala_medier	182	110	28	36	2	2	18	0	138	74	9	16	2	2	18	0	0
7606261	Targeting	72	8	3	2	2	2	18	0	70	6	3	2	2	2	18	0	0
6730769	Ubiquitous_computing	21	5	2	2	2	2	4	0	21	5	2	2	2	2	4	0	0
318599	Upphovsrätt	333	197	61	84	2	2	4	0	233	122	16	44	0	0	0	0	0
520977	Vikariat	19	16	1	2	0	0	0	0	18	15	1	2	0	0	0	0	0
64795	Yttrandefrihet	488	199	66	77	2	2	4	0	404	136	17	40	0	0	0	0	0
1078437	Öppen_innovation	81	41	0	0	0	0	0	0	61	36	0	0	0	0	0	0	0
2148	Öppen_källkod	257	111	5	9	0	0	0	0	215	73	1	3	0	0	0	0	0
313511	Öppen_standard	52	31	2	3	0	0	0	0	48	28	2	3	0	0	0	0	0
884997	Öppen_tillgång	136	55	2	4	0	0	0	0	132	51	2	4	0	0	0	0	0
1387704	Öppna_data	51	24	0	0	0	0	0	0	36	22	0	0	0	0	0	0	0
233861	Övervakning	86	53	3	6	0	0	0	0	76	44	2	5	0	0	0	0	0
