page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
226061	Ad-hoc-Netz	215	136	15	26	2	2	2	0	128	76	6	15	2	2	2	0	0
94469	Advanced_Encryption_Standard	749	479	89	126	6	6	16	84	441	243	15	67	0	0	0	0	0
516193	Aggregation_(Informatik)	122	85	11	18	0	0	0	0	92	61	3	12	0	0	0	0	0
342	Algorithmus	1987	993	574	616	22	19	41	722	1117	432	39	207	0	0	0	0	0
70752	Amazon.com	2379	1249	344	408	36	31	105	3100	1709	685	97	189	16	14	49	616	0
137943	Anwendungsspezifische_integrierte_Schaltung	152	115	8	15	0	0	0	0	114	82	2	10	0	0	0	0	0
193	Apple	4583	2086	776	862	70	57	272	14649	3189	1031	229	396	40	30	202	5610	0
18985	Authentifizierung	426	252	48	76	0	0	0	0	288	149	13	43	0	0	0	0	0
40314	Automatisierung	460	280	72	113	0	0	0	0	263	155	8	53	0	0	0	0	0
129144	Bestärkendes_Lernen	120	77	5	10	0	0	0	0	69	47	1	6	0	0	0	0	0
5962879	Big_Data	498	240	68	88	6	6	7	24	362	143	24	45	4	4	5	8	0
6007423	Bitcoin	3447	1180	309	339	28	22	212	4620	2705	566	121	165	16	14	168	1344	0
9313562	Blockchain	208	109	15	27	0	0	0	0	168	71	5	17	0	0	0	0	0
25100	Border_Gateway_Protocol	323	168	13	23	0	0	0	0	251	110	3	13	0	0	0	0	0
393898	Botnet	477	318	76	110	2	2	11	0	294	185	9	56	0	0	0	0	0
402592	Chatbot	240	170	35	51	0	0	0	0	132	92	6	24	0	0	0	0	0
1515733	Classless_Inter-Domain_Routing	294	202	33	48	2	2	4	0	161	103	5	21	2	2	4	0	0
3334984	Cloud_Computing	1192	697	189	245	10	10	21	190	789	376	50	125	6	6	14	72	0
8368312	Connected_car	34	23	1	2	0	0	0	0	31	20	0	1	0	0	0	0	0
9947191	Constrained_Application_Protocol	9	6	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0
2053238	Content_Delivery_Network	241	146	36	44	2	2	21	0	149	76	15	26	2	2	21	0	0
1386180	Conversational_Monitor_System	12	9	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
7177206	Cyber-physisches_System	53	43	3	6	0	0	0	0	35	28	0	3	0	0	0	0	0
7597866	Cyberattacke	67	38	4	7	0	0	0	0	49	30	1	4	0	0	0	0	0
36804	Data-Mining	821	463	92	132	4	4	6	16	446	220	13	57	0	0	0	0	0
7156223	Data_Masking	19	16	0	0	0	0	0	0	16	13	0	0	0	0	0	0	0
378674	Data_Over_Cable_Service_Interface_Specification	210	113	11	15	4	4	4	8	145	64	4	7	0	0	0	0	0
1035151	Datagram_Transport_Layer_Security	56	36	8	6	4	4	9	16	45	29	5	5	2	2	5	0	0
7653914	Datenanalyse	16	13	3	5	0	0	0	0	9	7	1	3	0	0	0	0	0
99980	Datenaustausch	95	63	8	13	0	0	0	0	77	46	1	6	0	0	0	0	0
291893	Datenfluss	36	27	4	7	0	0	0	0	24	19	1	5	0	0	0	0	0
998	Datenkompression	770	479	97	138	4	4	4	8	491	265	10	67	2	2	2	0	0
1077	Debian	1749	899	164	219	6	6	22	78	1222	485	52	113	4	4	14	20	0
39805	Deep_Web	490	325	98	143	0	0	0	0	298	172	18	69	0	0	0	0	0
18378	Denial_of_Service	1220	778	217	307	6	6	14	60	649	346	23	131	0	0	0	0	0
54897	Digitale_Signatur	303	170	47	67	4	3	7	6	209	99	11	38	0	0	0	0	0
10233469	Digitaler_Zwilling	12	7	2	3	0	0	0	0	11	6	2	3	0	0	0	0	0
1187	Digitaltechnik	472	298	104	139	0	0	0	0	284	162	11	64	0	0	0	0	0
10217981	Distributed-Ledger-Technologie	17	8	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0
8354191	Docker_(Software)	147	92	6	8	2	2	6	0	111	59	6	8	2	2	6	0	0
197859	Domain-Registrierung	270	156	31	54	0	0	0	0	178	91	7	33	0	0	0	0	0
1083	Domain_Name_System	1824	990	371	438	12	11	28	286	975	383	35	162	6	5	21	75	0
122087	Domain_Name_System_Security_Extensions	236	142	12	15	2	2	2	0	181	98	6	8	0	0	0	0	0
1861851	Dynamic-Spectrum-Management	21	16	0	0	0	0	0	0	15	11	0	0	0	0	0	0	0
14670	Dynamic_Host_Configuration_Protocol	1066	622	213	286	6	6	6	24	491	244	11	110	0	0	0	0	0
5422871	E-Services	40	17	2	4	0	0	0	0	39	16	1	3	0	0	0	0	0
