page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
23475353	5G	1589	727	164	203	12	11	22	198	1110	369	39	95	8	7	16	84	0
464639	Ad_hoc_network	20	12	6	7	2	2	2	0	18	10	6	6	2	2	2	0	0
1260	Advanced_Encryption_Standard	1938	1104	253	293	22	18	132	2340	1135	512	64	120	6	6	29	144	0
775	Algorithm	4230	2031	978	1146	36	28	134	3668	2715	943	187	430	18	14	106	1442	0
90451	Amazon_(company)	8067	4059	1406	1583	106	83	367	30046	5238	2048	441	744	38	32	201	6272	0
856	Apple_Inc.	12359	5330	2186	2442	122	100	715	71100	9123	3135	757	1232	58	49	570	27832	0
147845	Application-specific_integrated_circuit	720	453	70	92	8	7	24	133	407	244	30	54	4	4	15	36	0
27697009	Application_programming_interface	2502	1473	414	578	12	10	25	230	1296	632	88	245	8	7	14	84	0
1164	Artificial_intelligence	8274	3827	1671	1958	68	56	418	17976	5445	1817	420	862	30	23	314	4991	0
85631	Augmented_reality	3173	1462	386	415	34	28	175	4788	1968	718	134	201	10	9	129	1125	0
47967	Authentication	958	570	144	202	8	5	10	30	613	316	34	99	0	0	0	0	0
2884728	Automated_reasoning	180	102	9	15	0	0	0	0	140	71	1	9	0	0	0	0	0
173354	Automation	2249	969	375	452	20	18	99	1746	1499	497	105	220	6	5	70	290	0
245926	Autonomous_car	3451	1312	316	367	18	17	51	578	2583	706	108	190	6	6	27	60	0
3897526	Back-to-back_user_agent	45	29	7	9	0	0	0	0	31	17	1	3	0	0	0	0	0
27051151	Big_data	2427	1099	363	372	26	20	105	2000	1620	571	164	184	20	15	89	1260	0
28249265	Bitcoin	15607	2906	1395	1092	206	117	43119	5044338	13800	1754	882	636	164	84	43004	3612084	0
44065971	Blockchain	2758	766	297	270	32	22	1496	32824	2329	449	185	165	26	19	1478	28025	0
38893	Border_Gateway_Protocol	1269	779	130	197	10	9	15	117	685	365	18	81	6	6	11	54	0
636268	Botnet	1778	968	327	392	24	18	92	1548	1052	446	81	168	10	7	30	168	0
23553163	Brain-computer_interface	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
30862029	C-RAN	139	72	2	4	0	0	0	0	99	46	0	2	0	0	0	0	0
1731315	C2Net	46	31	1	2	0	0	0	0	40	25	0	1	0	0	0	0	0
51407038	CBOR	53	26	0	0	0	0	0	0	48	20	0	0	0	0	0	0	0
