page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
401453	Administración_de_identidades	35	24	0	0	0	0	0	0	25	16	0	0	0	0	0	0	0
38918	Advanced_Encryption_Standard	312	195	28	48	0	0	0	0	165	102	2	20	0	0	0	0	0
187	Algoritmo	3140	1386	1071	1019	32	29	105	2784	1571	390	80	242	4	4	26	44	0
284037	Amazon	727	431	115	135	8	7	9	49	416	211	31	55	0	0	0	0	0
6345452	Ambiente_inteligente	71	9	0	0	0	0	0	0	71	9	0	0	0	0	0	0	0
1034725	Análisis_de_datos	138	96	27	39	0	0	0	0	83	51	0	16	0	0	0	0	0
9551	Apple	4237	1873	1194	1105	32	29	176	4843	2331	642	214	328	6	6	20	60	0
154444	Aprendizaje_automático	266	148	17	29	0	0	0	0	190	87	4	16	0	0	0	0	0
6102647	Aprendizaje_por_refuerzo	25	19	2	2	0	0	0	0	19	14	0	1	0	0	0	0	0
7758802	Arquitectura_de_microservicios	22	11	0	0	0	0	0	0	15	5	0	0	0	0	0	0	0
117245	Arquitectura_orientada_a_servicios	353	234	46	62	2	2	4	0	156	99	7	25	2	2	4	0	0
211995	Ataque_de_denegación_de_servicio	588	342	114	135	10	10	14	90	282	135	14	46	2	2	2	0	0
91137	Autenticación	277	153	30	42	0	0	0	0	172	85	5	21	0	0	0	0	0
4236005	Automatización_industrial	463	272	145	173	4	4	7	8	235	107	21	63	2	2	2	0	0
7762127	Automatización_robótica_de_procesos	15	11	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
6125832	Automatización_vehicular	25	13	1	2	0	0	0	0	22	10	0	1	0	0	0	0	0
265216	Backbone	194	129	27	41	0	0	0	0	84	54	1	16	0	0	0	0	0
4531363	Bitcoin	1134	505	233	230	22	15	118	1710	746	234	64	90	4	4	7	8	0
49365	Border_Gateway_Protocol	194	134	11	22	0	0	0	0	134	84	0	10	0	0	0	0	0
369053	Bot_conversacional	199	127	18	28	4	4	6	16	146	83	10	20	2	2	2	0	0
236635	Botnet	286	170	31	50	0	0	0	0	163	91	4	23	0	0	0	0	0
6620616	Cadena_de_bloques	168	65	26	24	4	4	7	20	113	36	7	12	0	0	0	0	0
1265496	Capa_de_red	267	165	36	53	0	0	0	0	134	74	4	23	0	0	0	0	0
739366	Capa_de_transporte	381	206	49	79	0	0	0	0	219	98	4	35	0	0	0	0	0
153739	Centro_de_procesamiento_de_datos	332	197	66	81	4	4	29	16	169	95	6	33	0	0	0	0	0
5052201	Cifrado	29	21	4	8	0	0	0	0	16	11	0	4	0	0	0	0	0
6188337	Cifrado_homomórfico	108	14	1	2	0	0	0	0	97	9	1	1	0	0	0	0	0
368369	Circuito_integrado_de_aplicación_específica	117	80	8	13	0	0	0	0	70	50	1	7	0	0	0	0	0
99157	Classless_Inter-Domain_Routing	181	130	26	35	6	6	10	36	96	70	7	18	2	2	2	0	0
627	Compresión_de_datos	283	174	45	68	0	0	0	0	154	91	5	33	0	0	0	0	0
55407	Computación_cuántica	630	340	143	171	2	2	8	0	332	148	13	63	0	0	0	0	0
6635	Computación_distribuida	394	242	62	89	0	0	0	0	213	123	2	38	0	0	0	0	0
1892174	Computación_en_la_nube	1666	753	447	450	26	19	161	2071	850	269	67	140	10	6	43	168	0
7327321	Comunicación_con_luz_visible	4	4	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0
58479	Comunicación_inalámbrica	478	277	111	145	0	0	0	0	233	115	7	59	0	0	0	0	0
4408343	Conformado_de_tráfico	21	13	0	0	0	0	0	0	21	13	0	0	0	0	0	0	0
6608094	Contrato_inteligente	41	19	0	0	0	0	0	0	35	14	0	0	0	0	0	0	0
3400	Criptografía	821	458	128	180	0	0	0	0	472	222	13	80	0	0	0	0	0
6103421	Criptomoneda	331	153	75	76	8	8	34	112	204	86	25	38	2	2	3	0	0
714557	Código_electrónico_de_producto	121	47	5	7	0	0	0	0	104	34	1	4	0	0	0	0	0
99357	DOCSIS	148	88	11	19	0	0	0	0	108	58	1	10	0	0	0	0	0
4745633	Dark_web	45	28	7	11	0	0	0	0	36	21	4	8	0	0	0	0	0
708773	Datagram_Transport_Layer_Security	19	18	1	2	0	0	0	0	17	16	0	1	0	0	0	0	0
4547564	Debian	669	349	73	94	2	2	12	0	427	181	11	42	0	0	0	0	0
4605076	Descarga_de_datos_móviles	26	12	1	2	0	0	0	0	25	11	0	1	0	0	0	0	0
7434191	Dinero_virtual	17	12	1	2	0	0	0	0	15	10	0	1	0	0	0	0	0
44111	Dirección_MAC	798	464	163	194	4	4	6	12	313	147	15	70	0	0	0	0	0
1169201	Diseño_de_interfaz_de_usuario	46	31	5	8	0	0	0	0	25	15	0	3	0	0	0	0	0
6929610	Docker_(software)	70	36	2	3	0	0	0	0	52	23	0	2	0	0	0	0	0
5325511	Documento_de_identidad_electrónico	115	48	3	6	0	0	0	0	93	28	0	2	0	0	0	0	0
5202728	Domain_Name_System_Security_Extensions	103	24	2	4	0	0	0	0	98	18	0	2	0	0	0	0	0
488852	EAP	33	25	3	4	0	0	0	0	29	21	3	4	0	0	0	0	0
16491	Electrónica_digital	225	124	36	55	0	0	0	0	117	67	3	25	0	0	0	0	0
5875640	Enmascaramiento_de_datos	10	8	1	2	0	0	0	0	9	7	1	2	0	0	0	0	0
6607885	Ethereum	92	51	8	11	0	0	0	0	59	32	2	6	0	0	0	0	0
1019739	Facebook	3530	1565	1115	1086	30	27	340	9099	2045	573	176	310	8	8	15	72	0
8476031	Familia_de_protocolos_de_Internet	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
3350050	Fichero_de_dispositivo	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
27113	Firma_digital	635	320	119	146	4	4	6	12	292	114	11	53	0	0	0	0	0
725179	Fundación_Linux	57	40	0	0	0	0	0	0	52	36	0	0	0	0	0	0	0
1203827	GOST	33	29	4	7	0	0	0	0	27	23	2	5	0	0	0	0	0
9907	Google	4682	2159	1339	1332	54	42	242	9954	2871	866	279	438	16	14	72	714	0
124909	Grupo_de_Trabajo_de_Ingeniería_de_Internet	129	91	13	17	0	0	0	0	91	64	1	9	0	0	0	0	0
