page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
5991587	5G	207	117	25	32	4	3	16	36	143	68	9	20	0	0	0	0	0
82724	Adresse_MAC	331	208	51	68	4	4	9	28	190	108	8	30	0	0	0	0	0
11876	Advanced_Encryption_Standard	261	172	9	17	0	0	0	0	189	113	1	7	0	0	0	0	0
7013	Agent_conversationnel	190	129	11	14	2	2	2	0	138	82	4	8	2	2	2	0	0
19	Algorithme	372	189	85	106	0	0	0	0	259	99	14	48	0	0	0	0	0
96232	Amazon_(entreprise)	937	530	111	142	2	2	2	0	678	324	22	69	0	0	0	0	0
983909	Analyse_des_données	682	132	10	15	0	0	0	0	657	109	5	9	0	0	0	0	0
63	Apple	3978	1706	724	745	52	37	201	7252	2780	855	181	297	14	10	117	790	0
183708	Application-specific_integrated_circuit	85	64	1	2	0	0	0	0	75	55	1	2	0	0	0	0	0
31947	Apprentissage_automatique	262	132	14	17	2	2	26	0	220	102	6	10	0	0	0	0	0
1102563	Apprentissage_par_renforcement	104	46	1	2	0	0	0	0	89	34	1	2	0	0	0	0	0
247943	Architecture_orientée_services	348	199	13	24	0	0	0	0	211	104	1	13	0	0	0	0	0
49742	Attaque_par_déni_de_service	568	371	80	105	2	2	2	0	379	217	17	50	0	0	0	0	0
222921	Automation	83	61	9	15	0	0	0	0	65	50	1	10	0	0	0	0	0
5178283	Big_data	553	294	54	67	6	5	12	45	377	181	15	36	0	0	0	0	0
5052155	Bitcoin	2061	735	171	211	12	10	26	210	1446	382	62	113	8	7	18	91	0
9248177	Blockchain	325	155	15	23	0	0	0	0	262	105	7	15	0	0	0	0	0
89892	Border_Gateway_Protocol	279	138	13	22	0	0	0	0	209	81	1	9	0	0	0	0	0
223157	Botnet	197	114	9	16	0	0	0	0	151	77	3	9	0	0	0	0	0
764	Calcul_distribué	229	143	1	2	0	0	0	0	189	112	1	2	0	0	0	0	0
11198853	Calcul_multipartite_sécurisé	10	5	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0
26468	Calculateur_quantique	959	444	41	65	2	2	11	0	587	241	5	29	0	0	0	0	0
1574266	Carte_d'identité_électronique	81	64	2	4	0	0	0	0	61	47	0	2	0	0	0	0	0
536569	Centre_de_données	363	192	29	36	4	4	7	8	271	123	8	18	2	2	2	0	0
66371	Chiffrement	377	203	57	67	8	6	26	90	280	134	16	32	0	0	0	0	0
9152351	Chiffrement_homomorphe	62	14	0	0	0	0	0	0	56	10	0	0	0	0	0	0	0
1268437	Cinématique_temps_réel	31	27	0	0	0	0	0	0	30	26	0	0	0	0	0	0	0
3166139	Cloud_computing	1448	657	170	193	8	8	15	104	958	348	41	94	0	0	0	0	0
10591376	CoAP	11	10	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
513910	Code_produit_électronique	35	23	0	0	0	0	0	0	27	18	0	0	0	0	0	0	0
14665	Compression_de_données	467	241	29	41	0	0	0	0	373	168	6	22	0	0	0	0	0
9891977	Contrat_intelligent	45	26	1	2	0	0	0	0	40	20	0	1	0	0	0	0	0
2267066	Conversation_Monitor_System	16	13	0	0	0	0	0	0	15	12	0	0	0	0	0	0	0
5507	Couche_réseau	101	83	3	6	0	0	0	0	75	57	0	3	0	0	0	0	0
5508	Couche_transport	99	74	6	10	0	0	0	0	80	57	0	5	0	0	0	0	0
523	Cryptographie	464	256	73	87	8	7	22	140	331	163	17	41	0	0	0	0	0
7588409	Cryptomonnaie	489	209	37	50	2	2	4	0	371	131	18	32	2	2	4	0	0
1594605	Cyberattaque	109	65	1	2	0	0	0	0	89	52	0	1	0	0	0	0	0
8395912	Dark_web	55	41	9	15	0	0	0	0	40	28	0	6	0	0	0	0	0
145445	Data_Over_Cable_Service_Interface_Specification	158	87	4	8	0	0	0	0	118	58	1	5	0	0	0	0	0
2448915	Datagram_Transport_Layer_Security	17	14	0	0	0	0	0	0	16	13	0	0	0	0	0	0	0
853	Debian	1415	582	55	89	0	0	0	0	1114	361	16	45	0	0	0	0	0
3164246	Diffusion_en_direct_sur_Internet	47	29	3	6	0	0	0	0	33	20	1	4	0	0	0	0	0
7541907	Docker_(logiciel)	115	88	3	6	0	0	0	0	83	55	0	3	0	0	0	0	0
8085	Domain_Name_System	777	465	103	151	0	0	0	0	459	226	8	59	0	0	0	0	0
529549	Domain_Name_System_Security_Extensions	80	60	4	2	2	2	8	0	58	46	1	1	0	0	0	0	0
198769	Dorsale_Internet	56	43	2	4	0	0	0	0	44	34	0	2	0	0	0	0	0
27223	Dynamic_Host_Configuration_Protocol	327	227	46	66	0	0	0	0	188	121	3	25	0	0	0	0	0
