page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
5852424	5G	107	36	3	6	0	0	0	0	89	24	0	3	0	0	0	0	0
68586	Advanced_Encryption_Standard	244	141	5	8	0	0	0	0	158	89	0	4	0	0	0	0	0
2869657	Algoritmo	895	438	162	183	8	8	22	128	541	220	20	68	2	2	5	0	0
800559	Amazon.com	550	309	32	49	0	0	0	0	362	172	8	26	0	0	0	0	0
3216546	Analisi_dei_dati	32	20	2	4	0	0	0	0	26	14	0	1	0	0	0	0	0
12655	Apple	3360	1465	565	614	14	13	23	234	1866	503	87	188	0	0	0	0	0
12780	Application_programming_interface	185	127	10	20	0	0	0	0	148	93	4	13	0	0	0	0	0
299602	Application_specific_integrated_circuit	59	42	1	2	0	0	0	0	49	35	1	2	0	0	0	0	0
605	Apprendimento_automatico	180	101	1	2	0	0	0	0	147	76	1	2	0	0	0	0	0
20666	Apprendimento_per_rinforzo	58	36	0	0	0	0	0	0	53	31	0	0	0	0	0	0	0
5877681	Attacco_informatico	55	17	1	2	0	0	0	0	51	14	0	1	0	0	0	0	0
2219276	Autenticazione	209	97	3	6	0	0	0	0	158	77	2	5	0	0	0	0	0
12906	Automazione	201	123	24	39	0	0	0	0	135	82	5	22	0	0	0	0	0
5329411	Autovettura_autonoma	41	28	1	2	0	0	0	0	28	16	1	2	0	0	0	0	0
4334007	Big_data	193	84	8	13	0	0	0	0	135	53	2	8	0	0	0	0	0
3452071	Bitcoin	681	328	115	123	16	10	96	910	445	146	47	57	10	7	83	546	0
5879922	Blockchain	150	88	4	8	0	0	0	0	81	41	1	5	0	0	0	0	0
222254	Border_Gateway_Protocol	80	64	3	6	0	0	0	0	59	49	0	3	0	0	0	0	0
233985	Botnet	173	88	11	17	0	0	0	0	139	61	1	8	0	0	0	0	0
116177	Calcolo_distribuito	120	68	0	0	0	0	0	0	103	57	0	0	0	0	0	0	0
2800056	Carta_d'identità_elettronica	18	9	0	0	0	0	0	0	17	8	0	0	0	0	0	0	0
108348	Centro_elaborazione_dati	244	124	12	17	0	0	0	0	176	81	4	11	0	0	0	0	0
3647293	Chatterbot	62	36	1	2	0	0	0	0	53	31	0	1	0	0	0	0	0
4230930	Cinematica_in_tempo_reale	14	10	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0
1709217	Cloud_computing	381	206	43	63	0	0	0	0	267	120	13	34	0	0	0	0	0
19446	Compressione_dei_dati	143	93	8	15	0	0	0	0	97	66	1	9	0	0	0	0	0
313409	Computer_quantistico	209	130	10	17	0	0	0	0	124	78	2	10	0	0	0	0	0
3029839	Comunicazione_senza_connessione	24	15	5	3	2	2	7	0	11	8	1	2	0	0	0	0	0
291356	Content_Delivery_Network	116	69	10	7	2	2	19	0	76	47	7	4	2	2	19	0	0
4769447	Criptovaluta	156	85	10	15	2	2	5	0	102	51	4	9	0	0	0	0	0
310023	Crittografia	501	288	66	95	0	0	0	0	315	173	9	43	0	0	0	0	0
4761473	Crittografia_omomorfica	13	11	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
2505755	DNSSEC	22	18	0	0	0	0	0	0	20	16	0	0	0	0	0	0	0
6430242	Dark_web	18	16	4	8	0	0	0	0	12	10	0	4	0	0	0	0	0
91024	Data_mining	295	138	8	10	0	0	0	0	210	85	0	5	0	0	0	0	0
3014439	Dataflow_(microprocessori)	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
51985	Debian	867	374	28	44	0	0	0	0	628	216	8	23	0	0	0	0	0
25177	Denial_of_service	406	218	35	47	2	2	3	0	266	136	5	24	0	0	0	0	0
5518780	Docker	31	23	0	0	0	0	0	0	22	14	0	0	0	0	0	0	0
707623	Domain_Name_System	543	312	68	98	2	2	2	0	321	164	7	42	0	0	0	0	0
269284	Dorsale_(informatica)	66	47	2	2	0	0	0	0	45	33	0	1	0	0	0	0	0
58061	Dynamic_Host_Configuration_Protocol	268	151	19	28	0	0	0	0	164	93	0	10	0	0	0	0	0
2564282	Dynamic_Spectrum_Management	22	15	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0
539683	EAP	31	15	1	2	0	0	0	0	30	14	1	2	0	0	0	0	0
113685	Elettronica_digitale	190	101	12	21	0	0	0	0	123	68	2	11	0	0	0	0	0
6082414	Equal-cost_multi-path_routing	12	9	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0
5421344	Ethereum	77	56	8	13	0	0	0	0	53	34	3	8	0	0	0	0	0
3601780	Fabbricazione_digitale	18	11	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0
2658829	Facebook	2519	1228	617	675	20	18	85	1278	1486	521	118	228	6	6	17	84	0
20014	Firma_digitale	522	271	36	50	2	2	2	0	273	141	8	28	0	0	0	0	0
6336955	Fog_computing	28	15	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0
56032	Global_System_for_Mobile_Communications	389	195	18	31	0	0	0	0	273	126	3	15	0	0	0	0	0
1417698	Google_(azienda)	453	260	60	87	2	2	2	0	263	136	13	44	0	0	0	0	0
2437389	Hardware_libero	91	51	4	8	0	0	0	0	64	36	1	5	0	0	0	0	0
6651517	Hyperledger	14	8	0	0	0	0	0	0	13	7	0	0	0	0	0	0	0
1997772	Hypertext_Transfer_Protocol	351	211	36	51	0	0	0	0	224	131	6	26	0	0	0	0	0
68434	IEEE_802.11	418	226	17	29	0	0	0	0	227	101	0	12	0	0	0	0	0
35904	IPv6	358	225	29	42	0	0	0	0	234	135	1	17	0	0	0	0	0
335712	Identity_management	35	27	1	2	0	0	0	0	33	25	0	1	0	0	0	0	0
62717	Indirizzo_MAC	146	90	8	11	0	0	0	0	89	55	2	6	0	0	0	0	0
6189208	Industria_4.0	66	36	5	9	0	0	0	0	49	23	3	7	0	0	0	0	0
26042	Institute_of_Electrical_and_Electronics_Engineers	172	98	3	6	0	0	0	0	142	77	0	3	0	0	0	0	0
34210	Integrated_Services_Digital_Network	245	149	11	18	0	0	0	0	156	96	0	6	0	0	0	0	0
2284463	Intelligenza_artificiale	469	271	31	51	0	0	0	0	319	161	4	24	0	0	0	0	0
323122	Interface_design	35	33	0	0	0	0	0	0	33	32	0	0	0	0	0	0	0
2265	Internet	1904	877	393	430	12	10	52	230	939	341	40	137	2	2	5	0	0
2267	Internet_Engineering_Task_Force	87	65	2	4	0	0	0	0	82	61	1	3	0	0	0	0	0
302392	Internet_Exchange_Point	146	92	2	4	0	0	0	0	99	62	1	3	0	0	0	0	0
35296	Internet_Protocol	372	178	50	50	14	9	35	270	208	99	13	26	0	0	0	0	0
5026179	Internet_Research_Task_Force	7	6	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0
1734889	Internet_Small_Computer_Systems_Interface	31	25	0	0	0	0	0	0	21	17	0	0	0	0	0	0	0
2285007	Internet_delle_cose	155	112	15	28	0	0	0	0	94	65	2	14	0	0	0	0	0
1984928	Internet_key_exchange	24	20	2	4	0	0	0	0	21	17	2	4	0	0	0	0	0
76849	Internet_service_provider	264	158	31	42	0	0	0	0	158	88	3	19	0	0	0	0	0
609063	JavaScript_Object_Notation	128	101	3	6	0	0	0	0	85	62	0	3	0	0	0	0	0
644410	L2TP	50	34	1	2	0	0	0	0	34	24	0	1	0	0	0	0	0
1574801	LTE_(telefonia)	413	200	13	20	2	2	4	0	241	91	6	12	2	2	4	0	0
117501	Latenza	82	59	3	5	0	0	0	0	58	44	0	3	0	0	0	0	0
222278	Lightweight_Directory_Access_Protocol	204	124	4	8	0	0	0	0	114	73	0	4	0	0	0	0	0
2526	Linux	1894	857	216	263	8	8	18	120	1120	384	41	106	0	0	0	0	0
1176441	Linux_Foundation	54	34	0	0	0	0	0	0	52	33	0	0	0	0	0	0	0
11078	Lisp	200	111	2	4	0	0	0	0	173	93	0	2	0	0	0	0	0
107010	Livello_di_rete	110	67	1	2	0	0	0	0	75	50	0	1	0	0	0	0	0
116904	Livello_di_trasporto	88	58	1	2	0	0	0	0	64	45	0	1	0	0	0	0	0
26702	Macchina_virtuale	163	102	8	13	0	0	0	0	115	71	2	8	0	0	0	0	0
6089461	Malvertising	19	7	0	0	0	0	0	0	19	7	0	0	0	0	0	0	0
12065	Malware	377	221	40	56	2	2	2	0	229	125	5	27	0	0	0	0	0
2728261	MariaDB	209	83	2	2	2	2	2	0	147	57	2	2	2	2	2	0	0
1098630	Matroska	97	63	1	2	0	0	0	0	77	51	0	1	0	0	0	0	0
2772	Minix	199	109	2	4	0	0	0	0	156	81	2	4	0	0	0	0	0
15022	Modello_OSI	495	255	64	77	2	2	2	0	244	136	4	35	0	0	0	0	0
1358550	Mozilla_Public_License	89	51	0	0	0	0	0	0	78	45	0	0	0	0	0	0	0
41526	Multicast	70	50	2	4	0	0	0	0	54	40	0	2	0	0	0	0	0
2139982	Multiple-input_and_multiple-output	66	44	1	2	0	0	0	0	38	30	1	2	0	0	0	0	0
223355	Multiprotocol_Label_Switching	142	80	1	2	0	0	0	0	104	53	0	1	0	0	0	0	0
2757	MySQL	467	235	15	28	0	0	0	0	334	151	3	15	0	0	0	0	0
3013	Nanotecnologia	518	263	50	78	0	0	0	0	369	167	2	35	0	0	0	0	0
93132	Network_File_System	62	42	1	2	0	0	0	0	48	30	0	1	0	0	0	0	0
90207	Network_Time_Protocol	158	112	3	6	0	0	0	0	99	65	0	3	0	0	0	0	0
41354	Network_address_translation	231	134	18	26	0	0	0	0	145	77	2	13	0	0	0	0	0
6761543	Network_functions_virtualization	32	4	0	0	0	0	0	0	32	4	0	0	0	0	0	0	0
6041719	Next_Generation_Mobile_Networks	26	6	0	0	0	0	0	0	26	6	0	0	0	0	0	0	0
4497872	Oculometria	23	16	1	2	0	0	0	0	19	13	1	2	0	0	0	0	0
45444	Ontologia_(informatica)	212	114	4	8	0	0	0	0	158	82	0	4	0	0	0	0	0
10777	OpenBSD	461	105	2	4	0	0	0	0	421	70	0	2	0	0	0	0	0
4882681	OpenFlow	23	16	0	0	0	0	0	0	23	16	0	0	0	0	0	0	0
209609	Open_Shortest_Path_First	162	98	6	11	0	0	0	0	86	61	0	5	0	0	0	0	0
4723679	Over-the-top_content	30	22	1	2	0	0	0	0	23	18	0	1	0	0	0	0	0
5048850	Overlay_network	3	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
2584105	PCI_Express	182	125	6	7	2	2	2	0	123	79	2	5	0	0	0	0	0
3200	PHP	859	466	78	120	0	0	0	0	567	242	4	46	0	0	0	0	0
1772163	PKCS	25	22	0	0	0	0	0	0	20	17	0	0	0	0	0	0	0
504977	Peer-to-peer	539	332	40	66	0	0	0	0	322	189	3	29	0	0	0	0	0
554733	Peering	28	23	0	0	0	0	0	0	23	20	0	0	0	0	0	0	0
132766	Protocollo_Kerberos	101	70	4	6	0	0	0	0	63	46	1	4	0	0	0	0	0
245237	Protocollo_di_tunneling	100	57	3	6	0	0	0	0	74	36	0	3	0	0	0	0	0
3366	Python	514	283	19	32	0	0	0	0	379	188	4	17	0	0	0	0	0
583595	RADIUS	107	58	2	4	0	0	0	0	82	41	0	1	0	0	0	0	0
2266860	Ragionamento_automatico	15	6	0	0	0	0	0	0	13	5	0	0	0	0	0	0	0
249537	Real-time_Transport_Protocol	74	52	0	0	0	0	0	0	60	43	0	0	0	0	0	0	0
135108	Realtà_aumentata	277	159	43	51	4	3	5	9	184	94	11	24	2	2	2	0	0
116935	Realtà_virtuale	289	146	24	33	0	0	0	0	218	97	4	16	0	0	0	0	0
1110971	Resource_Reservation_Protocol	44	36	0	0	0	0	0	0	39	32	0	0	0	0	0	0	0
3796	Rete_di_computer	642	340	117	148	2	2	3	0	335	155	9	55	0	0	0	0	0
2868232	Rete_di_telecomunicazioni	278	72	21	22	6	4	6	16	179	33	6	9	2	2	2	0	0
608622	Rich_Internet_application	81	50	1	2	0	0	0	0	63	39	0	1	0	0	0	0	0
120430	Riconoscimento_vocale	138	89	3	6	0	0	0	0	102	61	0	2	0	0	0	0	0
37667	Robotica	278	162	43	56	4	3	10	18	177	102	9	28	0	0	0	0	0
278217	Service-oriented_architecture	170	95	2	4	0	0	0	0	127	61	0	2	0	0	0	0	0
2682631	Servizi_a_valore_aggiunto	38	18	0	0	0	0	0	0	29	14	0	0	0	0	0	0	0
5986914	Session_Description_Protocol	3	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
100703	Session_Initiation_Protocol	195	123	4	8	0	0	0	0	122	74	2	5	0	0	0	0	0
19414	Sicurezza_informatica	672	326	88	111	2	2	3	0	353	163	12	49	0	0	0	0	0
4965803	Sistema_ciberfisico	3	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
127433	Sistema_di_gestione_dei_pacchetti	82	52	0	0	0	0	0	0	67	43	0	0	0	0	0	0	0
20365	Sistema_di_posizionamento_globale	775	386	53	81	2	2	5	0	492	210	9	38	2	2	5	0	0
6966909	Sistema_di_raccomandazione	8	8	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0
5509313	Smart_contract	26	18	1	2	0	0	0	0	16	12	1	2	0	0	0	0	0
2737553	Smart_grid	141	86	7	12	0	0	0	0	64	42	2	7	0	0	0	0	0
165848	Smartphone	1003	542	92	113	8	8	10	48	454	193	14	50	2	2	2	0	0
6756558	Software-defined_networking	21	8	0	0	0	0	0	0	17	6	0	0	0	0	0	0	0
1529766	Software_defined_radio	68	43	0	0	0	0	0	0	48	32	0	0	0	0	0	0	0
205184	Stream_Control_Transmission_Protocol	47	37	0	0	0	0	0	0	36	33	0	0	0	0	0	0	0
77019	Suite_di_protocolli_Internet	272	151	16	25	0	0	0	0	161	84	1	12	0	0	0	0	0
20287	Supercomputer	467	200	28	38	2	2	8	0	364	127	7	20	0	0	0	0	0
5656766	Tecnofinanza	20	13	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0
106721	Tecnologie_dell'informazione_e_della_comunicazione	289	153	26	39	0	0	0	0	179	85	3	17	0	0	0	0	0
4177	Telecomunicazione	717	331	48	71	0	0	0	0	340	161	3	30	0	0	0	0	0
2137291	Traduzione_automatica	123	64	7	11	0	0	0	0	103	50	3	6	0	0	0	0	0
2082021	Traffic_shaping	27	20	0	0	0	0	0	0	23	18	0	0	0	0	0	0	0
2717590	Transmission_Control_Protocol	529	243	34	47	0	0	0	0	310	133	2	20	0	0	0	0	0
23344	Transport_Layer_Security	189	128	10	12	0	0	0	0	114	76	0	7	0	0	0	0	0
2501542	Twitter	745	390	122	155	2	2	5	0	428	193	16	66	0	0	0	0	0
1816289	Uniform_Resource_Name	30	23	0	0	0	0	0	0	23	18	0	0	0	0	0	0	0
119879	VLAN	155	86	14	19	2	2	2	0	85	52	2	9	2	2	2	0	0
68393	Virtual_Private_Network	411	204	20	33	0	0	0	0	244	102	1	16	0	0	0	0	0
451903	Virtualizzazione	118	77	7	11	0	0	0	0	83	57	4	7	0	0	0	0	0
660343	Visione_artificiale	140	73	6	8	2	2	4	0	86	52	2	5	0	0	0	0	0
55230	Web_semantico	256	154	10	16	0	0	0	0	172	93	1	8	0	0	0	0	0
1086866	Web_sommerso	245	163	47	63	2	2	2	0	149	84	11	27	0	0	0	0	0
93160	WiMAX	604	329	26	44	0	0	0	0	334	162	5	23	0	0	0	0	0
88035	Wireless	266	149	23	40	0	0	0	0	126	77	2	20	0	0	0	0	0
4534	World_Wide_Web_Consortium	269	139	8	13	0	0	0	0	205	99	0	5	0	0	0	0	0
