page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
1824740	3GPP_Long_Term_Evolution	181	72	2	4	0	0	0	0	123	50	1	3	0	0	0	0	0
4800138	5G	69	13	0	0	0	0	0	0	68	12	0	0	0	0	0	0	0
1429575	ASIC	53	35	3	6	0	0	0	0	48	31	1	4	0	0	0	0	0
76727	Advanced_Encryption_Standard	89	57	2	4	0	0	0	0	78	48	0	1	0	0	0	0	0
9	Algoritme	280	175	30	49	0	0	0	0	225	132	5	27	0	0	0	0	0
600329	Amazon.com	181	119	20	30	4	4	8	16	151	93	7	18	2	2	4	0	0
27491	Apple_Inc.	2159	936	513	527	30	27	79	1998	1269	370	101	183	4	3	10	21	0
12547	Application_programming_interface	182	111	11	21	0	0	0	0	152	88	4	13	0	0	0	0	0
128612	Authenticatie	143	86	2	4	0	0	0	0	129	75	0	2	0	0	0	0	0
118244	Automatisering	89	60	5	9	0	0	0	0	72	50	3	7	0	0	0	0	0
110630	Backbone	50	37	18	19	2	2	4	0	39	29	8	11	0	0	0	0	0
3437480	Big_data	41	23	3	5	0	0	0	0	33	15	0	3	0	0	0	0	0
2076096	Bitcoin	708	205	70	93	2	2	8	0	575	120	18	51	0	0	0	0	0
4375117	Blockchain	184	61	5	8	2	2	2	0	153	34	1	4	0	0	0	0	0
280231	Border_Gateway_Protocol	73	56	2	4	0	0	0	0	58	45	1	3	0	0	0	0	0
1375426	Botnet	70	55	6	11	0	0	0	0	57	44	1	6	0	0	0	0	0
1249117	Chatbot	66	43	9	15	0	0	0	0	50	31	1	7	0	0	0	0	0
1755517	Classless_Inter-Domain_Routing	48	35	3	6	0	0	0	0	34	23	0	3	0	0	0	0	0
1508007	Cloud_computing	358	189	53	77	2	2	3	0	238	109	12	39	0	0	0	0	0
149361	Computerbeveiliging	216	118	34	46	2	2	2	0	162	87	15	31	2	2	2	0	0
243	Computernetwerk	254	153	36	56	2	2	5	0	190	110	6	32	0	0	0	0	0
71138	Computervertaling	137	90	10	18	0	0	0	0	123	78	2	10	0	0	0	0	0
4406521	Content_delivery_network	7	3	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
3777787	Cryptogeld	211	78	19	29	0	0	0	0	172	51	4	16	0	0	0	0	0
10055	Cryptografie	285	154	31	48	0	0	0	0	228	111	5	27	0	0	0	0	0
1679970	Cryptografisch_protocol	17	12	0	0	0	0	0	0	17	12	0	0	0	0	0	0	0
4914293	DNSSEC	11	6	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0
4570807	Dark_web	63	37	14	21	2	2	2	0	48	24	4	12	0	0	0	0	0
105897	Data_Over_Cable_Service_Interface_Specification	73	47	2	4	0	0	0	0	55	34	0	2	0	0	0	0	0
674058	Datacenter	97	65	4	8	0	0	0	0	81	52	1	5	0	0	0	0	0
10047	Datacompressie	149	89	2	4	0	0	0	0	114	69	0	2	0	0	0	0	0
14489	Datamining	188	117	14	21	0	0	0	0	153	87	3	12	0	0	0	0	0
436928	Datavisualisatie	68	34	1	2	0	0	0	0	65	31	1	2	0	0	0	0	0
41824	Debian	354	139	7	12	0	0	0	0	294	100	1	6	0	0	0	0	0
4341198	Deep_web	89	54	33	47	2	2	4	0	54	24	7	22	0	0	0	0	0
5085740	Denial-of-service	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
355566	Digitale_handtekening	121	77	4	8	0	0	0	0	99	60	1	5	0	0	0	0	0
18498	Distributed_computing	175	89	2	4	0	0	0	0	124	66	0	2	0	0	0	0	0
4342	Domain_Name_System	309	181	49	71	4	3	5	6	222	124	14	43	0	0	0	0	0
4046557	Domeinnamenregister	11	6	1	2	0	0	0	0	10	5	0	1	0	0	0	0	0
18959	Dynamic_Host_Configuration_Protocol	272	148	22	37	0	0	0	0	194	100	4	22	0	0	0	0	0
192498	E-ID	178	96	13	23	0	0	0	0	128	64	4	15	0	0	0	0	0
796524	Electronic_Product_Code	29	20	0	0	0	0	0	0	27	18	0	0	0	0	0	0	0
6906	Encryptie	133	82	11	20	0	0	0	0	100	56	1	10	0	0	0	0	0
4838949	Ethereum	30	19	2	4	0	0	0	0	25	14	0	2	0	0	0	0	0
612667	Facebook	1607	654	425	432	20	15	65	825	1097	307	92	171	8	7	37	189	0
646301	Gebruikersbeheer	95	62	7	12	0	0	0	0	68	39	2	8	0	0	0	0	0
1849541	Global_positioning_system	640	337	107	149	4	4	7	8	454	203	17	70	2	2	5	0	0
198990	Google_LLC	902	446	129	162	14	12	31	348	670	276	39	91	2	2	2	0	0
13533	Gsm_(communicatie)	581	305	73	106	6	6	7	30	416	202	13	57	6	6	7	30	0
4748277	Homomorfe_encryptie	11	5	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0
6206	Hypertext_Transfer_Protocol	267	148	33	52	0	0	0	0	196	97	3	24	0	0	0	0	0
194272	IEEE_802.11	279	173	28	45	2	2	2	0	191	106	5	25	0	0	0	0	0
917482	ISCSI	53	40	1	2	0	0	0	0	40	30	0	1	0	0	0	0	0
1486023	Informatienummer	181	66	17	29	2	2	7	0	140	43	4	17	0	0	0	0	0
21495	Institute_of_Electrical_and_Electronics_Engineers	159	94	9	10	4	3	6	9	130	73	4	5	0	0	0	0	0
11359	Integrated_Services_Digital_Network	235	123	10	15	0	0	0	0	195	96	1	8	0	0	0	0	0
778	Internet	1399	673	380	448	2	2	8	0	874	310	39	168	0	0	0	0	0
86254	Internet_Engineering_Task_Force	64	46	3	4	0	0	0	0	61	44	1	3	0	0	0	0	0
74665	Internet_Protocol_versie_6	276	176	18	32	0	0	0	0	203	115	1	15	0	0	0	0	0
4004387	Internet_der_dingen	113	38	8	11	0	0	0	0	101	32	2	7	0	0	0	0	0
2009220	Internet_exchange	33	21	0	0	0	0	0	0	32	20	0	0	0	0	0	0	0
783	Internetprotocol	213	129	26	44	0	0	0	0	167	90	4	24	0	0	0	0	0
18251	Internetprovider	331	188	43	61	8	5	25	105	244	131	13	35	2	2	6	0	0
589003	JSON	78	57	3	6	0	0	0	0	65	44	1	4	0	0	0	0	0
