page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
17790	Adres_MAC	183	136	27	49	0	0	0	0	120	87	4	28	0	0	0	0	0
57759	Advanced_Encryption_Standard	155	95	4	7	0	0	0	0	130	76	0	4	0	0	0	0	0
527075	Agregacja_(programowanie_obiektowe)	34	29	2	4	0	0	0	0	27	22	0	2	0	0	0	0	0
29	Algorytm	1158	600	331	398	6	6	9	30	655	267	15	132	0	0	0	0	0
597818	Amazon.com	166	114	10	18	0	0	0	0	142	91	5	13	0	0	0	0	0
1116565	Analiza_danych	33	26	0	0	0	0	0	0	30	24	0	0	0	0	0	0	0
230	Apple_Inc.	572	326	69	112	2	2	3	0	423	198	19	63	2	2	3	0	0
344430	Architektura_zorientowana_na_usługi	83	60	4	8	0	0	0	0	65	47	1	5	0	0	0	0	0
18347	Automatyzacja	103	47	5	9	0	0	0	0	96	42	1	4	0	0	0	0	0
64516	Bezpieczeństwo_teleinformatyczne	233	93	15	19	2	2	5	0	220	82	11	15	2	2	5	0	0
2778710	Big_data	54	39	2	4	0	0	0	0	45	31	0	2	0	0	0	0	0
2241400	Bitcoin	480	252	45	64	2	2	4	0	327	143	13	35	2	2	4	0	0
3757186	Blockchain	58	31	1	2	0	0	0	0	52	26	0	1	0	0	0	0	0
71263	Border_Gateway_Protocol	171	98	7	14	0	0	0	0	113	69	1	8	0	0	0	0	0
423529	Botnet_(bezpieczeństwo_komputerowe)	120	93	5	10	0	0	0	0	95	70	0	4	0	0	0	0	0
2946146	Carrier_Ethernet	9	7	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0
3168830	Centrum_danych	12	11	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
891239	Chatbot	104	63	3	6	0	0	0	0	78	40	2	5	0	0	0	0	0
1518378	Chmura_obliczeniowa	207	124	22	35	0	0	0	0	152	86	5	22	0	0	0	0	0
342282	Classless_Inter-Domain_Routing	61	49	3	6	0	0	0	0	48	36	0	3	0	0	0	0	0
2820974	Content_Delivery_Network	48	29	10	12	2	2	7	0	32	20	6	9	2	2	7	0	0
