page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
890386	/dev	28	21	0	0	0	0	0	0	25	19	0	0	0	0	0	0	0
2940839	5G	267	168	28	41	2	2	2	0	142	80	7	20	0	0	0	0	0
26799	API	318	206	27	48	0	0	0	0	202	115	4	23	0	0	0	0	0
384647	Advanced_Encryption_Standard	467	190	19	28	0	0	0	0	341	93	2	11	0	0	0	0	0
7433876	Amazon_(компания)	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
39726	Apple	1440	508	156	165	14	12	29	324	1166	309	54	73	6	6	11	54	0
4224006	B2BUA	3	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
48983	Border_Gateway_Protocol	126	84	8	10	0	0	0	0	88	51	1	3	0	0	0	0	0
2061496	Content_Delivery_Network	137	70	22	28	0	0	0	0	85	40	6	14	0	0	0	0	0
9081	DHCP	356	211	55	75	2	2	2	0	204	108	7	28	0	0	0	0	0
922	DNS	790	433	131	175	2	2	32	0	452	196	16	58	2	2	32	0	0
2100919	DNSSEC	222	63	3	4	0	0	0	0	199	40	3	3	0	0	0	0	0
40754	DOCSIS	98	72	3	6	0	0	0	0	56	44	0	1	0	0	0	0	0
4365672	DTLS	10	9	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
648837	Data_mining	284	146	18	26	0	0	0	0	211	92	7	14	0	0	0	0	0
4914783	Debian	961	460	95	110	8	8	33	120	634	223	25	46	2	2	10	0	0
9722	DoS-атака	1433	449	162	203	4	3	5	9	1038	173	19	59	0	0	0	0	0
5015373	Docker	53	32	4	5	0	0	0	0	35	17	1	2	0	0	0	0	0
1122514	Electronic_Product_Code	13	10	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0
6281771	Ethereum	322	112	22	33	0	0	0	0	266	63	4	15	0	0	0	0	0
919912	Facebook	1847	915	334	398	4	4	12	32	1156	407	66	140	0	0	0	0	0
14274	GPS	858	470	89	129	4	4	25	8	521	228	25	59	4	4	25	8	0
1691497	GSM	508	294	50	77	0	0	0	0	307	152	7	33	0	0	0	0	0
265	Google_(компания)	1300	674	206	256	24	17	70	969	913	380	68	127	10	8	28	120	0
935	HTTP	781	451	92	135	0	0	0	0	434	191	8	43	0	0	0	0	0
94083	IEEE_802.11	368	210	22	34	0	0	0	0	228	107	4	14	0	0	0	0	0
4875707	IEEE_802.15	16	7	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0
2105720	IKE	60	18	0	0	0	0	0	0	52	15	0	0	0	0	0	0	0
8011	IP	638	348	123	158	0	0	0	0	385	158	19	54	0	0	0	0	0
19259	IPv6	575	317	62	80	2	2	2	0	354	153	15	34	2	2	2	0	0
667360	IRTF	17	16	0	0	0	0	0	0	15	14	0	0	0	0	0	0	0
161041	ISCSI	129	76	5	10	0	0	0	0	90	45	1	5	0	0	0	0	0
25569	ISDN	221	150	13	25	0	0	0	0	122	75	3	10	0	0	0	0	0
198033	JSON	371	248	15	28	0	0	0	0	206	121	2	12	0	0	0	0	0
98496	Kerberos	186	115	4	8	0	0	0	0	113	61	2	4	0	0	0	0	0
670933	L2TP	114	71	5	10	0	0	0	0	74	43	1	5	0	0	0	0	0
12224	LDAP	179	118	6	10	0	0	0	0	113	68	1	5	0	0	0	0	0
1578120	LTE	753	404	28	48	0	0	0	0	329	148	3	20	0	0	0	0	0
1391	Linux	2079	925	448	462	24	21	398	8295	1309	397	116	163	10	10	310	3070	0
77413	MAC-адрес	278	180	30	47	0	0	0	0	134	72	2	14	0	0	0	0	0
1047257	MIMO	208	68	3	6	0	0	0	0	117	34	2	4	0	0	0	0	0
183756	MPLS	157	97	5	8	0	0	0	0	103	56	2	5	0	0	0	0	0
3687552	MariaDB	125	64	1	2	0	0	0	0	101	47	1	2	0	0	0	0	0
94637	Matroska	400	235	36	46	2	2	6	0	227	113	3	14	0	0	0	0	0
94814	Minix	195	122	5	10	0	0	0	0	153	90	2	6	0	0	0	0	0
586776	Mozilla_Public_License	79	56	2	4	0	0	0	0	65	44	0	2	0	0	0	0	0
