page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
1496485	5G	51	35	2	4	0	0	0	0	42	28	1	3	0	0	0	0	0
72963	ASIC	64	44	1	2	0	0	0	0	56	38	1	2	0	0	0	0	0
30151	Advanced_Encryption_Standard	70	47	1	2	0	0	0	0	58	36	0	0	0	0	0	0	0
15159	Algoritm	191	116	9	16	0	0	0	0	162	94	0	9	0	0	0	0	0
45914	Amazon.com	181	112	7	14	0	0	0	0	145	88	1	8	0	0	0	0	0
15209	Apple_Inc.	1098	496	213	245	4	4	4	8	767	265	47	114	0	0	0	0	0
5655	Application_Programming_Interface	132	90	6	12	0	0	0	0	108	71	4	10	0	0	0	0	0
15	Artificiell_intelligens	439	129	16	27	0	0	0	0	411	104	10	21	0	0	0	0	0
4735	Autentisering	64	49	4	8	0	0	0	0	54	43	1	5	0	0	0	0	0
266220	Automation	26	20	3	5	0	0	0	0	21	17	2	4	0	0	0	0	0
1540539	Big_data	38	24	0	0	0	0	0	0	34	20	0	0	0	0	0	0	0
4865831	Bitcoin	189	104	14	22	0	0	0	0	144	65	2	12	0	0	0	0	0
6956730	Blockkedja	29	10	0	0	0	0	0	0	27	8	0	0	0	0	0	0	0
121388	Border_Gateway_Protocol	57	40	0	0	0	0	0	0	54	37	0	0	0	0	0	0	0
562554	Botnet	60	49	9	16	0	0	0	0	44	35	0	6	0	0	0	0	0
121883	Classless_Inter-Domain_Routing	59	47	1	2	0	0	0	0	45	34	0	0	0	0	0	0	0
259240	DOCSIS	455	48	0	0	0	0	0	0	414	32	0	0	0	0	0	0	0
21167	Datakompression	100	50	9	11	0	0	0	0	84	41	2	9	0	0	0	0	0
50293	Datasäkerhet	176	98	22	28	2	2	4	0	118	68	6	16	0	0	0	0	0
161616	Datautvinning	193	55	0	0	0	0	0	0	156	42	0	0	0	0	0	0	0
1503775	Datorhall	24	14	3	5	0	0	0	0	18	8	0	2	0	0	0	0	0
941960	Datormoln	157	83	17	21	4	3	9	6	123	61	10	15	4	3	9	6	0
4404	Datornätverk	131	80	14	24	0	0	0	0	111	63	4	15	0	0	0	0	0
293364	Datorseende	81	26	2	4	0	0	0	0	37	21	1	3	0	0	0	0	0
8594	Debian_GNU/Linux	281	118	2	4	0	0	0	0	252	97	2	2	0	0	0	0	0
4337483	Deep_web	30	22	9	17	0	0	0	0	15	13	2	10	0	0	0	0	0
57694	Denial_of_Service	140	105	13	25	0	0	0	0	109	78	2	12	0	0	0	0	0
1596649	Digital_signatur	20	12	1	2	0	0	0	0	17	9	1	2	0	0	0	0	0
7988625	Digital_valuta	9	4	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0
527026	Digitalteknik	154	59	4	8	0	0	0	0	130	44	1	5	0	0	0	0	0
212643	Distributed_computing	61	37	1	2	0	0	0	0	55	32	0	1	0	0	0	0	0
6121	Domännamnssystemet	191	117	13	25	0	0	0	0	158	90	3	13	0	0	0	0	0
27323	Dynamic_Host_Configuration_Protocol	98	63	4	8	0	0	0	0	90	56	0	4	0	0	0	0	0
565554	E-legitimation	240	77	5	8	2	2	7	0	140	42	2	4	2	2	7	0	0
10919	EAP	17	15	1	2	0	0	0	0	17	15	1	2	0	0	0	0	0
8106907	Ethereum	4	2	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0
1419136	Eye_tracking	11	10	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
581212	Facebook	1099	507	248	285	10	9	20	108	768	266	65	128	4	4	11	12	0
7974612	Fintech	8	3	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0
666708	Flersändning	63	25	0	0	0	0	0	0	60	22	0	0	0	0	0	0	0
792218	Förstärkt_verklighet	135	60	6	12	0	0	0	0	122	53	3	9	0	0	0	0	0
28707	GSM	194	120	14	24	0	0	0	0	153	92	2	14	0	0	0	0	0
3617	Global_Positioning_System	358	203	36	59	2	2	5	0	274	137	5	33	2	2	5	0	0
7985	Google	1252	622	354	354	32	25	99	2175	829	330	100	155	2	2	8	0	0
14400	Hypertext_Transfer_Protocol	127	90	3	6	0	0	0	0	113	76	1	4	0	0	0	0	0
63743	IEEE_802.11	160	87	8	14	0	0	0	0	124	57	2	8	0	0	0	0	0
457656	IEEE_802.15	8	6	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0
352413	IKT	38	32	0	0	0	0	0	0	30	24	0	0	0	0	0	0	0
209573	IPv6	170	121	12	21	0	0	0	0	121	78	1	10	0	0	0	0	0
4861621	Industri_4.0	14	10	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0
8125701	Innehållsleveransnätverk	6	2	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0
63595	Institute_of_Electrical_and_Electronics_Engineers	109	59	1	2	0	0	0	0	100	52	0	1	0	0	0	0	0
27180	Integrated_Services_Digital_Network	78	53	3	6	0	0	0	0	72	47	2	5	0	0	0	0	0
840	Internet	1013	501	202	238	8	8	10	56	679	272	33	101	4	4	5	8	0
888	Internet_Engineering_Task_Force	57	42	0	0	0	0	0	0	56	41	0	0	0	0	0	0	0
1204226	Internetknutpunkt	25	14	2	3	0	0	0	0	22	12	2	3	0	0	0	0	0
18103	Internetleverantör	121	69	4	8	0	0	0	0	111	61	2	6	0	0	0	0	0
47969	Internetprotokoll	103	61	2	4	0	0	0	0	95	55	1	3	0	0	0	0	0
724207	JSON	49	39	1	2	0	0	0	0	41	32	0	1	0	0	0	0	0
158515	Kerberos_(datasäkerhet)	28	23	1	2	0	0	0	0	26	21	1	2	0	0	0	0	0
4015	Kryptering	200	109	15	27	0	0	0	0	140	74	3	15	0	0	0	0	0
4016	Kryptografi	82	59	0	0	0	0	0	0	76	53	0	0	0	0	0	0	0
3959969	Kryptovaluta	46	25	3	6	0	0	0	0	38	20	1	4	0	0	0	0	0
45929	Kvantdator	104	79	6	11	0	0	0	0	78	57	1	6	0	0	0	0	0
559426	LTE	90	58	2	4	0	0	0	0	81	50	2	4	0	0	0	0	0
241632	Latens	71	46	9	8	6	5	8	20	53	33	5	6	2	2	4	0	0
67307	Lightweight_Directory_Access_Protocol	57	42	0	0	0	0	0	0	50	36	0	0	0	0	0	0	0
49326	Linux	868	361	54	74	2	2	3	0	673	214	28	48	2	2	3	0	0
16400	Lisp	105	66	0	0	0	0	0	0	86	53	0	0	0	0	0	0	0
103454	MAC-adress	30	17	0	0	0	0	0	0	20	12	0	0	0	0	0	0	0
