page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
161973	Accountability	647	389	91	146	2	2	3	0	392	207	8	65	0	0	0	0	0
55817338	Algorithmic_bias	286	31	3	4	0	0	0	0	285	30	2	3	0	0	0	0	0
43421829	Algorithmic_regulation	31	14	2	2	0	0	0	0	19	11	0	1	0	0	0	0	0
51553282	Anticipatory_governance	57	16	0	0	0	0	0	0	57	16	0	0	0	0	0	0	0
3512501	Child_protection	709	333	89	120	6	5	13	30	497	207	38	68	6	5	13	30	0
31666505	Circular_economy	341	180	19	30	2	2	4	0	242	115	10	22	2	2	4	0	0
158759	Community_network	103	56	3	4	2	2	2	0	78	38	1	2	0	0	0	0	0
666256	Competition_law	970	411	66	92	6	5	133	530	755	259	28	54	4	3	131	312	0
2028143	Computer-supported_collaboration	198	110	12	16	2	2	6	0	163	86	4	9	0	0	0	0	0
91256	Computer_and_network_surveillance	471	264	69	97	2	2	14	0	342	175	20	54	2	2	14	0	0
338689	Context_awareness	208	128	8	14	0	0	0	0	126	73	5	10	0	0	0	0	0
5278	Copyright	7896	3637	1426	1510	68	50	171	8400	4663	1680	289	627	18	15	53	675	0
51646069	Credential_stuffing	12	8	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0
45702461	Cyber_sovereignty	8	6	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0
341598	Cybercrime	2705	1445	690	825	40	32	96	3008	1424	627	131	359	8	7	14	84	0
56887996	Data_Sovereignty	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
39675445	Data_literacy	39	25	1	2	0	0	0	0	36	22	1	2	0	0	0	0	0
54068391	Data_localization	60	7	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0
55226628	Data_ownership	33	9	0	0	0	0	0	0	32	8	0	0	0	0	0	0	0
3095080	Data_retention	92	68	4	7	0	0	0	0	73	53	3	6	0	0	0	0	0
49139	Decentralization	710	431	80	127	0	0	0	0	479	261	18	63	0	0	0	0	0
265752	Decision-making	1867	1056	359	462	12	11	62	660	1147	563	84	224	8	7	47	315	0
47652080	Digital_Single_Market	40	27	0	0	0	0	0	0	34	22	0	0	0	0	0	0	0
20726862	Digital_citizen	355	193	96	116	4	4	8	8	190	101	14	53	0	0	0	0	0
36724181	Digital_commons_(economics)	29	24	0	0	0	0	0	0	18	15	0	0	0	0	0	0	0
195113	Digital_divide	3059	1308	580	640	18	16	140	2112	1764	656	100	292	2	2	2	0	0
9613511	Digital_economy	147	115	14	27	0	0	0	0	100	79	1	12	0	0	0	0	0
1649105	Digital_identity	383	191	32	49	0	0	0	0	291	127	15	34	0	0	0	0	0
45562261	Digital_labor	85	23	0	0	0	0	0	0	82	20	0	0	0	0	0	0	0
34738297	Digital_learning	23	18	2	2	0	0	0	0	18	15	0	1	0	0	0	0	0
30709221	Digital_transformation	309	143	35	51	0	0	0	0	239	93	24	44	0	0	0	0	0
234393	Dignity	965	525	215	237	20	12	632	6864	654	314	77	123	4	3	510	1506	0
8900	Discrimination	4212	2206	959	1165	38	33	117	3696	2432	1024	172	518	8	8	17	88	0
47886	Disruptive_innovation	1182	641	91	135	0	0	0	0	784	346	23	63	0	0	0	0	0
8997	Distance_education	2446	1126	454	490	26	24	86	1632	1700	646	197	271	14	14	49	434	0
1191446	E-Administration	45	38	3	6	0	0	0	0	34	30	1	4	0	0	0	0	0
9611	E-commerce	5447	2676	1497	1633	52	42	168	6888	3060	1177	358	685	6	6	17	42	0
594501	E-democracy	1365	501	110	127	14	11	44	440	1068	309	38	66	0	0	0	0	0
1513863	E-procurement	458	276	34	48	0	0	0	0	271	144	10	25	0	0	0	0	0
1547057	EHealth	523	256	88	104	6	5	7	25	376	167	46	66	0	0	0	0	0
16143262	Echo_chamber_(media)	217	146	35	38	4	3	18	18	158	100	6	17	0	0	0	0	0
370432	Economic_inequality	2561	988	297	343	30	23	372	4531	1944	547	105	166	20	14	334	2226	0
1944675	Educational_technology	2575	915	285	346	12	10	32	300	1925	526	112	188	6	6	9	42	0
371301	Electronic_voting	1549	685	173	216	10	9	22	180	1059	361	62	97	2	2	7	0	0
167703	Empowerment	860	483	133	184	6	5	8	25	507	252	30	92	2	2	3	0	0
54575571	Explainable_Artificial_Intelligence	72	25	1	2	0	0	0	0	68	21	1	2	0	0	0	0	0
52881503	Fake_news	1709	560	279	260	38	31	326	10044	1473	395	136	166	22	18	117	1836	0
31657187	Filter_bubble	291	165	22	31	2	2	5	0	243	124	10	19	2	2	5	0	0
44518453	Financial_technology	464	260	67	76	4	3	39	60	324	154	40	57	4	3	39	60	0
163152	Freedom_of_information_laws_by_country	1149	674	81	127	0	0	0	0	732	403	17	63	0	0	0	0	0
21401843	Freedom_of_speech	3772	1919	1098	1268	64	53	166	8639	2221	832	226	515	20	17	62	1003	0
1769652	Future_proof	180	80	7	8	0	0	0	0	108	54	1	5	0	0	0	0	0
38104075	General_Data_Protection_Regulation	911	422	52	69	0	0	0	0	682	246	16	35	0	0	0	0	0
40215124	Global_basic_income	28	18	0	0	0	0	0	0	23	14	0	0	0	0	0	0	0
37159435	Global_education	58	35	0	0	0	0	0	0	45	27	0	0	0	0	0	0	0
46313	Globalization	11431	5296	2576	2858	90	69	265	17871	6559	2007	445	1013	14	13	34	416	0
1661475	Green_computing	1415	638	206	245	18	13	829	1092	954	336	62	113	10	8	815	560	0
996699	Green_economy	357	209	41	50	6	5	9	20	257	134	19	29	2	2	5	0	0
11542420	Hyperconnectivity	81	37	3	6	0	0	0	0	71	30	2	5	0	0	0	0	0
927507	Identity_management	927	461	76	107	2	2	2	0	544	223	20	53	0	0	0	0	0
26740669	Immersive_technology	67	26	2	4	0	0	0	0	59	20	1	3	0	0	0	0	0
4168072	Information_ethics	151	96	10	18	0	0	0	0	105	67	2	11	0	0	0	0	0
14774	Information_explosion	118	78	3	6	0	0	0	0	95	61	2	5	0	0	0	0	0
237536	Information_privacy	615	360	67	107	0	0	0	0	429	227	20	61	0	0	0	0	0
163901	Information_society	512	339	42	68	4	4	4	8	347	222	11	38	2	2	2	0	0
118450	Innovation	2812	1386	519	658	10	9	16	126	1682	661	146	312	6	5	11	40	0
45035577	Innovation_Hub	29	4	0	0	0	0	0	0	29	4	0	0	0	0	0	0	0
14724	Intellectual_property	3538	1652	677	821	32	30	126	3630	2264	820	166	374	8	7	88	581	0
57915032	Internet_Universality	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
300602	Internet_access	1025	529	135	188	0	0	0	0	701	280	30	93	0	0	0	0	0
805626	Internet_fraud	1377	752	253	307	22	19	78	1425	811	383	77	158	4	4	7	12	0
3152502	Internet_governance	319	175	19	33	0	0	0	0	250	115	6	20	0	0	0	0	0
1228060	Internet_privacy	1805	940	277	351	18	16	41	560	1165	496	49	163	10	9	16	90	0
8223796	Internet_safety	1107	520	365	380	26	16	62	960	629	240	74	170	8	6	22	120	0
863095	Internet_security	1224	670	262	352	2	2	3	0	651	317	41	160	0	0	0	0	0
41285	Interoperability	645	400	62	98	0	0	0	0	408	229	13	55	0	0	0	0	0
53064	Kerckhoffs's_principle	265	180	13	25	0	0	0	0	154	109	1	12	0	0	0	0	0
26654243	Knowledge_commons	89	50	1	2	0	0	0	0	75	38	0	1	0	0	0	0	0
8446577	Level_playing_field	55	47	3	6	0	0	0	0	38	33	1	4	0	0	0	0	0
26825191	Living_lab	116	42	6	6	2	2	8	0	98	28	5	5	2	2	8	0	0
18878	Monopoly	3464	1933	785	1014	28	25	48	1125	1954	874	138	454	4	4	5	12	0
2683859	Multidisciplinary_approach	79	60	10	19	0	0	0	0	57	43	2	10	0	0	0	0	0
1398166	Net_neutrality	5816	2230	666	672	60	41	6919	281424	4039	1071	263	331	36	25	6608	165125	0
592687	Network_security	1139	651	289	377	12	10	32	290	636	305	51	166	4	4	15	44	0
1786529	Network_transparency	68	53	7	11	2	2	3	0	50	38	4	8	2	2	3	0	0
2541701	Open-source_governance	217	135	19	26	2	2	4	0	177	99	11	18	2	2	4	0	0
